method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
fixed_dumb,28,15.0,0.0,40.0,0.0,6,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,6,27.464285714285715,13.465517185062907,18.107142857142858,6.224027667689409,9.357142857142858,9.592460900230398
bo_marginal_random,28,15.0,0.0,40.0,0.0,6,24.892857142857142,11.84449626774962,15.75,9.12071817347735,9.142857142857142,11.305701108335583
random,28,15.0,0.0,40.0,0.0,7,25.642857142857142,12.600919143669882,13.785714285714286,9.263434810576253,11.857142857142858,12.075548747407732
fixed_dumb,28,15.0,0.0,40.0,0.0,7,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,7,27.410714285714285,4.7566749555391175,23.214285714285715,2.83293314500742,4.196428571428571,4.3143019748984015
bo_marginal_random,28,15.0,0.0,40.0,0.0,7,30.0,10.898066669958352,14.964285714285714,8.343013085626724,15.035714285714286,12.837534651106784
random,28,15.0,0.0,40.0,0.0,8,26.625,9.125733825679054,14.178571428571429,8.98432592045157,12.446428571428571,11.812780069026244
fixed_dumb,28,15.0,0.0,40.0,0.0,8,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,8,32.19642857142857,7.674562907184131,13.392857142857142,2.041345594634748,18.803571428571427,8.337029367434745
bo_marginal_random,28,15.0,0.0,40.0,0.0,8,28.428571428571427,11.338709209191858,12.214285714285714,8.278013662955724,16.214285714285715,13.117211002716846
random,28,15.0,0.0,40.0,0.0,9,24.053571428571427,13.952943420728145,9.071428571428571,8.923998829114716,14.982142857142858,14.391516686959035
fixed_dumb,28,15.0,0.0,40.0,0.0,9,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,9,30.5,9.5,7.107142857142857,5.48595144576637,23.392857142857142,4.82803779806992
bo_marginal_random,28,15.0,0.0,40.0,0.0,9,22.803571428571427,14.164429345140219,11.035714285714286,8.84583091008391,11.767857142857142,12.994835610773244
random,28,15.0,0.0,40.0,0.0,10,26.767857142857142,12.634619491455908,10.25,8.63392395479268,16.517857142857142,12.865708951967424
fixed_dumb,28,15.0,0.0,40.0,0.0,10,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,10,14.446428571428571,11.950298326905516,13.0,10.599865228253748,1.4464285714285714,5.518377229303734
bo_marginal_random,28,15.0,0.0,40.0,0.0,10,25.553571428571427,10.871275458842943,12.214285714285714,8.278013662955722,13.339285714285714,13.747112405512508
random,28,15.0,0.0,40.0,0.0,11,26.553571428571427,9.87722785512417,16.535714285714285,8.343013085626726,10.017857142857142,11.09736305780498
fixed_dumb,28,15.0,0.0,40.0,0.0,11,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,11,26.892857142857142,13.25933440937334,8.285714285714286,6.186720472437851,18.607142857142858,18.714660574217294
bo_marginal_random,28,15.0,0.0,40.0,0.0,11,27.375,12.129233428845723,13.392857142857142,8.562122924812037,13.982142857142858,12.407142343120311
random,28,15.0,0.0,40.0,0.0,12,24.160714285714285,12.549938511110446,12.214285714285714,7.738388272839797,11.946428571428571,10.158862497587906
fixed_dumb,28,15.0,0.0,40.0,0.0,12,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,12,39.32142857142857,3.5259605725509293,17.714285714285715,6.186720472437852,21.607142857142858,5.420459164224043
bo_marginal_random,28,15.0,0.0,40.0,0.0,12,27.375,11.767559068412252,13.785714285714286,8.784552768749172,13.589285714285714,12.510747930300179
random,28,15.0,0.0,40.0,0.0,13,26.5,9.57675757833964,12.607142857142858,9.05277891713086,13.892857142857142,9.891696682839912
fixed_dumb,28,15.0,0.0,40.0,0.0,13,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,13,32.482142857142854,7.080509140865334,13.0,2.939873661036668,19.482142857142858,7.5112797830723785
bo_marginal_random,28,15.0,0.0,40.0,0.0,13,26.785714285714285,12.875383885697607,13.0,8.315218406202998,13.785714285714286,12.628926950393186
random,28,15.0,0.0,40.0,0.0,14,27.571428571428573,11.516846578036924,14.964285714285714,8.84583091008391,12.607142857142858,10.973472186903043
fixed_dumb,28,15.0,0.0,40.0,0.0,14,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,14,12.964285714285714,10.781870175892303,3.5714285714285716,5.66586629001484,9.392857142857142,9.408731832392585
bo_marginal_random,28,15.0,0.0,40.0,0.0,14,26.375,14.545264938902184,11.035714285714286,7.80788128778106,15.339285714285714,14.070646733174561
random,28,15.0,0.0,40.0,0.0,15,27.410714285714285,11.322428414615022,16.535714285714285,8.845830910083908,10.875,11.874060113180688
fixed_dumb,28,15.0,0.0,40.0,0.0,15,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,15,25.625,13.780566674021168,17.714285714285715,6.186720472437853,7.910714285714286,7.923804068650824
bo_marginal_random,28,15.0,0.0,40.0,0.0,15,30.553571428571427,11.022978666107877,11.821428571428571,8.48971466552562,18.732142857142858,13.376072816024582
random,28,15.0,0.0,40.0,0.0,16,25.053571428571427,12.733069491425443,14.964285714285714,9.321565406767956,10.089285714285714,8.82878163758067
fixed_dumb,28,15.0,0.0,40.0,0.0,16,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,16,26.214285714285715,13.055806433639138,7.892857142857143,6.224027667689409,18.321428571428573,18.645285829760546
bo_marginal_random,28,15.0,0.0,40.0,0.0,16,29.5,10.966670285134734,14.964285714285714,7.23326710838363,14.535714285714286,11.147492167866865
random,28,15.0,0.0,40.0,0.0,17,28.339285714285715,11.562758546475042,14.964285714285714,8.84583091008391,13.375,11.640159087032641
fixed_dumb,28,15.0,0.0,40.0,0.0,17,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,17,20.035714285714285,7.66477165281497,18.107142857142858,6.224027667689409,1.9285714285714286,7.549496536801886
bo_marginal_random,28,15.0,0.0,40.0,0.0,17,23.875,12.284299648622337,10.642857142857142,7.412413746615902,13.232142857142858,12.209833670665056
random,28,15.0,0.0,40.0,0.0,18,26.803571428571427,11.120556324176578,13.392857142857142,9.05277891713086,13.410714285714286,12.298412768835378
fixed_dumb,28,15.0,0.0,40.0,0.0,18,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,18,27.410714285714285,4.7566749555391175,23.214285714285715,2.83293314500742,4.196428571428571,4.3143019748984015
