batch,bo_category_policies,bo_design_mode,bo_random_fraction,budget,categorical_ucb_weight,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,final_score_only,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_timeout_seconds,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
14,,categorical,0.2,192,1.0,0.39666666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0479536723808525,-0.49987871461156375,32,0.5,0.1,1.0250854515826697,0.9312075801975266,1.1069607819005243,0.9666197024563457,1.0955537417762828,0.2959166807068118,0.26881647354923105,0.31955205270631315,0.2790390727085836,0.3162591238631194,0.20792429188569153,0,rmse_coverage_predictive,0.26881647354923105,0.019173123162378788,0.016742344362515014,0.3162591238631194,8,30,717,192,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,206,1.0,0.33166666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.131940375891208,-0.4616972743358264,32,0.5,0.1,0.920018866373159,0.9535506022224662,0.9973550046889578,0.8298909324493859,0.8992789261318261,0.2655865700800389,0.27526634843953535,0.2879115902173951,0.23956887662384124,0.25959946503938375,0.18951812289429726,0,rmse_coverage_predictive,0.27526634843953535,0.017274695413043707,0.014374132597430474,0.25959946503938375,9,30,717,206,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,220,1.0,0.37166666666666665,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0034647119367952,-0.4859068832214149,32,0.5,0.1,1.01374767096524,0.994677451048485,1.163535573317273,0.9442770132667369,0.9525006462284652,0.29264374536106874,0.2871386470598469,0.3358837882332166,0.2725892938995632,0.27496325225164847,0.19920280806041027,0,rmse_coverage_predictive,0.2871386470598469,0.020153027293992994,0.01635535763397379,0.27496325225164847,10,30,717,220,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,234,1.0,0.3741666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0523694379626436,-0.48855983597348196,32,0.5,0.1,1.0038316113276973,1.1441167707036661,1.0246076657460028,0.9624630707591357,0.8841389381019844,0.2897812255105509,0.33027806277506355,0.2957787558161044,0.27783915649393043,0.2552289269571053,0.20905636244533937,0,rmse_coverage_predictive,0.33027806277506355,0.017746725348966264,0.016670349389635825,0.2552289269571053,11,30,717,234,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,248,1.0,0.3583333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.1451378770052896,-0.48248777944652244,32,0.5,0.1,0.9643735294465587,0.9753500627106813,1.0569313406338583,0.9292573806865525,0.8959553337551435,0.27839065841266014,0.2815593106300651,0.30510979701495505,0.2682534994429138,0.25864002656270657,0.19154927282839487,0,rmse_coverage_predictive,0.2815593106300651,0.018306587820897304,0.01609520996657483,0.25864002656270657,12,30,717,248,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,262,1.0,0.3658333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0812401513317806,-0.46941384337978453,32,0.5,0.1,0.9347237173441042,0.9741963094585427,0.9953817244191143,0.8659437045054622,0.903373130993298,0.26983149491327313,0.28122625075471486,0.2873419532699048,0.2499764154496452,0.26078136017882786,0.19210499402232972,0,rmse_coverage_predictive,0.28122625075471486,0.017240517196194287,0.014998584926978711,0.26078136017882786,13,30,717,262,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,276,1.0,0.3700000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.1015682714108945,-0.4682867175992754,32,0.5,0.1,0.9201689325650668,1.0574084557391876,0.9872881285456238,0.7580037053700747,0.8779754406053811,0.26562989045818597,0.30524752828220325,0.2850055333917689,0.21881682167107322,0.25344967848769856,0.19866906231705334,0,rmse_coverage_predictive,0.30524752828220325,0.017100332003506132,0.013129009300264392,0.25344967848769856,14,30,717,276,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,290,1.0,0.2783333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0851968718498413,-0.43966936773229653,32,0.5,0.1,0.9060924058496277,0.9122447496545036,1.0218008685585296,0.8071851902785987,0.8831388149068788,0.2615663472139791,0.26334237588992526,0.2949685032602302,0.23301429344661415,0.2549402162591468,0.18361127980704836,0,rmse_coverage_predictive,0.26334237588992526,0.017698110195613813,0.013980857606796848,0.2549402162591468,15,30,717,290,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,304,1.0,0.3775,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.1221559341593648,-0.4894406406033197,32,0.5,0.1,0.9798213053036045,1.0919179275273456,0.9685280463954222,0.9242541781748173,0.9345850691168324,0.28285004718738327,0.3152095546954457,0.2795899641520497,0.26680919928443353,0.2697914706176041,0.20777523234138684,0,rmse_coverage_predictive,0.3152095546954457,0.01677539784912298,0.016008551957066013,0.2697914706176041,16,30,717,304,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,318,1.0,0.3266666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9949647759358977,-0.4304906758296673,32,0.5,0.1,0.8636959048079056,0.9873895934839707,0.8168657912451854,0.804756935020267,0.8457712994821993,0.2493275315694109,0.28503482379650286,0.23580884223360224,0.23231331653308468,0.2441531437144537,0.1879162575430643,0,rmse_coverage_predictive,0.28503482379650286,0.014148530534016135,0.01393879899198508,0.2441531437144537,17,30,717,318,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
