replicate,left_method,right_method,metric,delta_left_minus_right,left_value,right_value
0,structured_medium_mid,bo,coverage_error,0.08916666666666662,0.37916666666666665,0.29000000000000004
1,structured_medium_mid,bo,coverage_error,0.21666666666666665,0.42333333333333334,0.2066666666666667
2,structured_medium_mid,bo,coverage_error,0.13666666666666666,0.38916666666666666,0.2525
3,structured_medium_mid,bo,coverage_error,0.18166666666666673,0.3866666666666667,0.205
4,structured_medium_mid,bo,coverage_error,0.1050000000000001,0.42750000000000005,0.32249999999999995
5,structured_medium_mid,bo,coverage_error,0.1433333333333333,0.375,0.2316666666666667
6,structured_medium_mid,bo,coverage_error,0.1233333333333333,0.4175,0.2941666666666667
7,structured_medium_mid,bo,coverage_error,0.15833333333333333,0.4691666666666667,0.31083333333333335
8,structured_medium_mid,bo,coverage_error,0.12166666666666665,0.4175,0.29583333333333334
9,structured_medium_mid,bo,coverage_error,0.08333333333333337,0.3666666666666667,0.2833333333333333
0,structured_medium_mid,bo,posterior_mean_predictive_rmse,-0.04982416372821563,0.9098024740345192,0.9596266377627348
1,structured_medium_mid,bo,posterior_mean_predictive_rmse,0.1013873381368331,0.9194745320920887,0.8180871939552556
2,structured_medium_mid,bo,posterior_mean_predictive_rmse,0.055981618990280646,1.0261256452471268,0.9701440262568461
3,structured_medium_mid,bo,posterior_mean_predictive_rmse,0.05329014375421559,0.8456100987114297,0.7923199549572141
4,structured_medium_mid,bo,posterior_mean_predictive_rmse,-0.010401022860759834,0.9883144033996738,0.9987154262604336
5,structured_medium_mid,bo,posterior_mean_predictive_rmse,0.07836905555884655,1.0238431841570077,0.9454741285981612
6,structured_medium_mid,bo,posterior_mean_predictive_rmse,-0.0036071278082997482,0.9541527459474143,0.957759873755714
7,structured_medium_mid,bo,posterior_mean_predictive_rmse,0.09575842861365624,1.000671265097412,0.9049128364837559
8,structured_medium_mid,bo,posterior_mean_predictive_rmse,-0.08707788570666986,0.9150856336759765,1.0021635193826464
9,structured_medium_mid,bo,posterior_mean_predictive_rmse,0.11622250748867147,0.9774590377046375,0.861236530215966
