method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,140,15.0,0.0,40.0,0.0,13,27.527957466749104,8.601246732175662,14.581437998890289,7.051351618040538,12.946519467858813,8.503377868422083
random,140,15.0,0.0,40.0,0.0,14,26.73376314848859,8.098697877902591,12.74676438627818,6.365121864825015,13.98699876221041,8.716625351488062
fixed_dumb,140,15.0,0.0,40.0,0.0,14,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,14,29.184995213036874,10.14857668385729,14.636923625898703,6.8935167082594955,14.54807158713816,10.848599574426743
bo_marginal_random,140,15.0,0.0,40.0,0.0,14,26.879679574358274,8.262696885937244,15.247860040708275,6.777749416429858,11.631819533649997,8.846579344723104
random,140,15.0,0.0,40.0,0.0,15,25.222987471291752,8.713035427774024,12.455378790643648,6.437053511341224,12.767608680648108,8.77911845666806
fixed_dumb,140,15.0,0.0,40.0,0.0,15,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,15,28.989815620784405,6.82576093215752,16.419220559000184,7.210415514187056,12.570595061784227,9.632758945013398
bo_marginal_random,140,15.0,0.0,40.0,0.0,15,25.953272108754376,8.177763067636008,14.13746571946463,7.0883251241229805,11.815806389289746,8.715554752630961
random,140,15.0,0.0,40.0,0.0,16,27.786554466594627,7.646811779052138,13.781837192364497,6.089544059506949,14.00471727423013,8.207692272588435
fixed_dumb,140,15.0,0.0,40.0,0.0,16,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,16,28.30942096766821,7.295160595849842,18.53420758349972,5.18420136508302,9.775213384168488,7.261909746360272
bo_marginal_random,140,15.0,0.0,40.0,0.0,16,26.48239368941117,8.09054870450022,15.169589024073115,7.195910387964917,11.312804665338055,8.632276263533317
random,140,15.0,0.0,40.0,0.0,17,27.41240952607598,9.010815273176277,13.045880788977483,6.241319072632339,14.366528737098491,9.526697748851335
fixed_dumb,140,15.0,0.0,40.0,0.0,17,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,17,25.81836644234763,7.420352265938223,18.3511336533136,4.77583827525615,7.467232789034032,5.69212968393363
bo_marginal_random,140,15.0,0.0,40.0,0.0,17,26.585977227455057,8.122776425276005,15.572478539545068,6.864227589999494,11.013498687909987,9.03657259036719
random,140,15.0,0.0,40.0,0.0,18,26.026501715952826,8.229017898985823,13.103614323448529,6.063554849790094,12.922887392504302,8.289596433092822
fixed_dumb,140,15.0,0.0,40.0,0.0,18,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,18,30.81148733697194,7.02540846439706,17.162064316939727,6.63404868829777,13.64942302003222,9.180045531213747
bo_marginal_random,140,15.0,0.0,40.0,0.0,18,27.60007652022323,7.861810798253959,15.961317168490561,6.386152670516014,11.638759351732668,8.225244793843272
random,140,15.0,0.0,40.0,0.0,19,26.7593753256641,8.941807366369282,13.037479428897894,6.917795204304866,13.721895896766204,9.09390453941039
fixed_dumb,140,15.0,0.0,40.0,0.0,19,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,19,28.70521657772483,6.630338295010313,16.586882736799648,7.345992151084056,12.118333840925182,9.492240501143172
bo_marginal_random,140,15.0,0.0,40.0,0.0,19,26.116995079295787,8.877358232615006,14.149168002470287,7.180897421098224,11.9678270768255,8.905832703654431
random,140,15.0,0.0,40.0,0.0,20,26.318156636548547,8.64464910279005,12.960757454265028,6.284244297181117,13.357399182283517,8.988653046535443
fixed_dumb,140,15.0,0.0,40.0,0.0,20,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,20,24.611128481956122,8.909709731449016,14.662204227425146,6.441740350197883,9.948924254530974,6.689185640100564
bo_marginal_random,140,15.0,0.0,40.0,0.0,20,26.359324484405175,8.242475862593892,15.36997066145611,6.658099110356919,10.989353822949061,8.902614429025205
