approach_name,simulator_variant,batch_count,batch_size,num_training_sims,epochs,training_seed,network_seed,epoch,loss,mean/inference_mean,quantiles/inference_quantiles
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,52,0.15767627954483032,0.17801006138324738,0.13734251260757446
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,53,0.1562711000442505,0.17643892765045166,0.13610325753688812
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,54,0.15505331754684448,0.17536312341690063,0.13474349677562714
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,55,0.15446874499320984,0.174841046333313,0.13409645855426788
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,56,0.15356633067131042,0.1738685965538025,0.13326407968997955
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,57,0.15158063173294067,0.17157700657844543,0.1315842568874359
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,58,0.15015201270580292,0.16960647702217102,0.13069754838943481
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,59,0.14925163984298706,0.16871967911720276,0.12978358566761017
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,60,0.14853356778621674,0.16810591518878937,0.1289612203836441
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,61,0.14755913615226746,0.1671869158744812,0.12793134152889252
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,62,0.14640522003173828,0.16565218567848206,0.1271582394838333
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,63,0.1450345665216446,0.1639629602432251,0.1261061728000641
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,64,0.14431491494178772,0.1630915105342865,0.12553831934928894
