method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,10,15.0,0.0,40.0,0.0,10,28.755226706429557,8.67771356523184,14.488071567940441,8.128962300614749,14.267155138489116,6.888385019297732
random,10,15.0,0.0,40.0,0.0,11,26.044461973715272,9.691607103231215,10.899573748961165,4.363322167755673,15.144888224754109,7.407730629858623
fixed_dumb,10,15.0,0.0,40.0,0.0,11,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,11,37.34733818647249,2.63893528260342,22.969353814922933,0.03817576856432936,14.377984371549555,2.677111051167751
bo_marginal_random,10,15.0,0.0,40.0,0.0,11,25.88563825489654,12.279759008141497,14.167624163809506,9.173316123723419,11.718014091087039,6.735686580826086
random,10,15.0,0.0,40.0,0.0,12,27.955375868196974,6.88783152957815,11.284106171808839,5.931059223631893,16.67126969638813,9.131224344614902
fixed_dumb,10,15.0,0.0,40.0,0.0,12,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,12,38.7642250237616,1.2220484453143143,15.869971213692372,7.0612068326662305,22.894253810069223,5.839158387351919
bo_marginal_random,10,15.0,0.0,40.0,0.0,12,34.20599904920391,6.819702135997189,16.730712204221312,8.186694585802938,17.47528684498259,7.863152651494998
random,10,15.0,0.0,40.0,0.0,13,28.27789104596464,9.428113136506955,14.895633853702126,6.103800150451394,13.38225719226252,6.334778841690313
fixed_dumb,10,15.0,0.0,40.0,0.0,13,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,13,34.78293658268779,3.8684893208898252,19.87310278126601,2.577566255383335,14.909833801421787,6.446055576273159
bo_marginal_random,10,15.0,0.0,40.0,0.0,13,33.61164448788292,8.550531898701792,13.826499772037527,8.78291710480361,19.785144715845394,7.415395838754268
random,10,15.0,0.0,40.0,0.0,14,28.190609318671044,8.92382094189632,14.330374444582981,8.040820074020653,13.86023487408807,9.766745843131172
fixed_dumb,10,15.0,0.0,40.0,0.0,14,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,14,27.639116298782238,3.2197207179168976,13.005659168006503,6.454050475106609,14.633457130775733,3.2343297571897107
bo_marginal_random,10,15.0,0.0,40.0,0.0,14,31.031752275398805,10.092765107647804,14.590083476143132,9.081355879040014,16.441668799255677,9.635411945225373
random,10,15.0,0.0,40.0,0.0,15,25.5299622834304,8.752171294153257,10.844900699297572,6.26329956350654,14.68506158413283,9.268974940470612
fixed_dumb,10,15.0,0.0,40.0,0.0,15,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,15,23.318121843394703,1.1012737374706365,12.632562070002152,6.080953377102259,10.685559773392551,7.182227114572894
bo_marginal_random,10,15.0,0.0,40.0,0.0,15,31.049427738461088,6.960420632636065,12.766966456870717,7.64139163369013,18.282461281590365,7.417386040237124
random,10,15.0,0.0,40.0,0.0,16,26.677914355288,7.916259517593922,14.828389255545062,4.803909344070981,11.849525099742937,5.957312987046493
fixed_dumb,10,15.0,0.0,40.0,0.0,16,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,16,21.804430501795007,12.992141902806125,13.36428910461747,10.370911959001669,8.440141397177545,2.6212299438044586
