method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,10,15.0,0.0,40.0,0.0,10,28.19978305318234,9.163130213396412,14.242081493042292,7.228834198085795,13.957701560140046,6.508287436099972
random,10,15.0,0.0,40.0,0.0,11,26.044461973715272,9.691607103231215,10.899573748961165,4.363322167755673,15.144888224754109,7.407730629858623
fixed_dumb,10,15.0,0.0,40.0,0.0,11,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,11,37.34733818647249,2.63893528260342,22.969353814922933,0.03817576856432936,14.377984371549555,2.677111051167751
bo_marginal_random,10,15.0,0.0,40.0,0.0,11,31.157233317775262,6.867922165670476,16.15544195793986,7.825189316594733,15.001791359835403,6.968594225981443
random,10,15.0,0.0,40.0,0.0,12,27.955375868196974,6.88783152957815,11.284106171808839,5.931059223631893,16.67126969638813,9.131224344614902
fixed_dumb,10,15.0,0.0,40.0,0.0,12,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,12,38.7642250237616,1.2220484453143143,15.869971213692372,7.0612068326662305,22.894253810069223,5.839158387351919
bo_marginal_random,10,15.0,0.0,40.0,0.0,12,30.82225447848888,8.120792857222376,15.555304282379518,8.20860806234456,15.266950196109363,3.5045368520991538
random,10,15.0,0.0,40.0,0.0,13,28.27789104596464,9.428113136506955,14.895633853702126,6.103800150451394,13.38225719226252,6.334778841690313
fixed_dumb,10,15.0,0.0,40.0,0.0,13,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,13,34.78293658268779,3.8684893208898252,19.87310278126601,2.577566255383335,14.909833801421787,6.446055576273159
bo_marginal_random,10,15.0,0.0,40.0,0.0,13,32.43906714606984,6.06133683376118,15.80814812901128,8.589772402263998,16.630919017058556,7.319099211306357
random,10,15.0,0.0,40.0,0.0,14,28.190609318671044,8.92382094189632,14.330374444582981,8.040820074020653,13.86023487408807,9.766745843131172
fixed_dumb,10,15.0,0.0,40.0,0.0,14,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,14,27.639116298782238,3.2197207179168976,13.005659168006503,6.454050475106609,14.633457130775733,3.2343297571897107
bo_marginal_random,10,15.0,0.0,40.0,0.0,14,31.52075065574973,4.844374949482101,20.62793342175532,4.640818981416097,10.89281723399441,6.12099272283737
random,10,15.0,0.0,40.0,0.0,15,25.5299622834304,8.752171294153257,10.844900699297572,6.26329956350654,14.68506158413283,9.268974940470612
fixed_dumb,10,15.0,0.0,40.0,0.0,15,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,15,23.318121843394703,1.1012737374706365,12.632562070002152,6.080953377102259,10.685559773392551,7.182227114572894
bo_marginal_random,10,15.0,0.0,40.0,0.0,15,31.45539067203588,9.320604045447372,18.01382379489005,7.006233977578398,13.441566877145823,7.4576833642706735
random,10,15.0,0.0,40.0,0.0,16,26.677914355288,7.916259517593922,14.828389255545062,4.803909344070981,11.849525099742937,5.957312987046493
fixed_dumb,10,15.0,0.0,40.0,0.0,16,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,16,21.804430501795007,12.992141902806125,13.36428910461747,10.370911959001669,8.440141397177545,2.6212299438044586
bo_marginal_random,10,15.0,0.0,40.0,0.0,16,33.27515679234979,4.111280641403109,17.517004546916862,7.67506682926493,15.758152245432921,9.27184421651872
random,10,15.0,0.0,40.0,0.0,17,30.014604506121646,7.80083562544505,10.808430649325308,5.870365362822582,19.206173856796333,9.437592368590323
fixed_dumb,10,15.0,0.0,40.0,0.0,17,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,17,21.804430501795007,12.992141902806125,13.36428910461747,10.370911959001669,8.440141397177545,2.6212299438044586
bo_marginal_random,10,15.0,0.0,40.0,0.0,17,30.80266116719556,6.805103678509145,13.243653805097647,7.888841072974395,17.559007362097915,9.51357127425382
random,10,15.0,0.0,40.0,0.0,18,27.86444559279081,7.257255200004258,15.6412123201752,4.902215145314435,12.223233272615612,7.789167379889288
fixed_dumb,10,15.0,0.0,40.0,0.0,18,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,18,38.74356335180427,1.2427101172716455,23.371558692444133,0.44038064608552574,15.372004659360135,1.6830907633571712
bo_marginal_random,10,15.0,0.0,40.0,0.0,18,30.802745293845465,6.581987005972253,11.857451767705424,7.73389644046917,18.945293526140045,9.12406929083821
random,10,15.0,0.0,40.0,0.0,19,28.37398298459296,10.283536349660295,14.740775912143231,6.142027692779834,13.633207072449725,10.287264054846876
fixed_dumb,10,15.0,0.0,40.0,0.0,19,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,19,35.141786752715994,4.622179435116932,12.07688360146615,6.3907726651271375,23.064903151249847,1.7685932300102056
bo_marginal_random,10,15.0,0.0,40.0,0.0,19,33.16923446435964,6.4041927846549,15.067341814527918,8.487014832496113,18.10189264983172,6.112413667996768
random,10,15.0,0.0,40.0,0.0,20,28.316657029648088,9.786587422541267,14.420978908049268,4.790502413514091,13.89567812159882,9.154273308084932
fixed_dumb,10,15.0,0.0,40.0,0.0,20,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,20,24.399281034032395,15.586992435043515,12.962277595987203,9.968900450371402,11.437003438045195,5.618091984672112
bo_marginal_random,10,15.0,0.0,40.0,0.0,20,29.700509460277623,8.835834672103855,14.895357999810642,7.8394909655670055,14.805151460466979,7.749918353629093
