batch,batch_theta_mode,budget,coverage_error,design_space,estimator,initial,initial_design_mode,method,policy,policy_label,posterior_mean_predictive_rmse,pred0,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_abs_neg_coverage_error,reward_abs_neg_predictive_rmse,reward_abs_neg_prior_std_rmse,reward_abs_neg_range_rmse,reward_abs_neg_range_rmse_alpha,reward_abs_neg_range_rmse_beta,reward_abs_neg_range_rmse_delta,reward_abs_neg_range_rmse_gamma,reward_abs_neg_raw_rmse,reward_abs_rmse_coverage,reward_abs_rmse_coverage_predictive,reward_abs_rmse_predictive,reward_delta_neg_coverage_error,reward_delta_neg_predictive_rmse,reward_delta_neg_prior_std_rmse,reward_delta_neg_range_rmse,reward_delta_neg_range_rmse_alpha,reward_delta_neg_range_rmse_beta,reward_delta_neg_range_rmse_delta,reward_delta_neg_range_rmse_gamma,reward_delta_neg_raw_rmse,reward_delta_rmse_coverage,reward_delta_rmse_coverage_predictive,reward_delta_rmse_predictive,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,role,seed,simulations,t_end,t_span,t_start,target_mode,validation
14,paired,94,0.30333333333333334,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_middle,short middle,2.4183252713405867,15.0,40.0,0.9780272746646794,1.1290137289511442,0.9830623591569462,0.7843931746356255,1.015639835915002,0.0,0.5,0.2823321551512244,0.3259181901643632,0.28378565884472573,0.22643480526319176,0.2931899663326169,0.2194638514166154,1,-0.30333333333333334,-2.4183252713405867,-0.9780272746646794,-0.2823321551512244,-0.3259181901643632,-0.28378565884472573,-0.22643480526319176,-0.2931899663326169,-0.2194638514166154,-0.35816548848455776,-0.5999980156186164,-0.524164682285283,-0.02833333333333332,-1.5089990306523156,-0.14316559110302873,-0.041328346281012784,-0.0826870053524176,-0.06465813078364785,0.030586599419695215,-0.048554848407680956,-0.046678994628730375,-0.048411679614346115,-0.19931158267957771,-0.19222824934624427,0.3259181901643632,0.017027139530683542,0.013586088315791505,0.2931899663326169,one_batch_probe,10717,94,21.0,2.0,19.0,validation_set,100
14,paired,94,0.3316666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_late,short late,1.0142596646042492,15.0,40.0,0.9179947867433662,0.9675798176157882,0.9840139147888178,0.7781798706133888,0.9422055439554701,0.0,1.0,0.2650022686204778,0.27931623408146217,0.2840603492948307,0.22464117888829407,0.27199131221732425,0.19523638667766946,1,-0.3316666666666667,-1.0142596646042492,-0.9179947867433662,-0.2650022686204778,-0.27931623408146217,-0.2840603492948307,-0.22464117888829407,-0.27199131221732425,-0.19523638667766946,-0.3479189352871445,-0.4493449017475694,-0.3664282350809027,-0.0566666666666667,-0.10493342391597815,-0.08313310318171552,-0.02399845975026621,-0.036085049269516584,-0.06493282123375282,0.032380225794592904,-0.02735619429238831,-0.02245152988978444,-0.03816512641693287,-0.0486584688085307,-0.03449180214186398,0.27931623408146217,0.017043620957689843,0.013478470733297644,0.27199131221732425,one_batch_probe,10717,94,40.0,2.0,38.0,validation_set,100
14,paired,94,0.24916666666666668,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,medium_early,medium early,0.9742634312275813,15.0,40.0,0.8705034054915218,0.8769880543743567,0.8909492562635899,0.7833981658632281,0.9306781454649127,0.5,0.0,0.25129268774550806,0.2531646446345605,0.25719489646904026,0.22614757097189692,0.26866363890653455,0.18486125820632243,1,-0.24916666666666668,-0.9742634312275813,-0.8705034054915218,-0.25129268774550806,-0.2531646446345605,-0.25719489646904026,-0.22614757097189692,-0.26866363890653455,-0.18486125820632243,-0.31358435441217475,-0.41101069753493286,-0.34871903086826617,0.025833333333333347,-0.06493719053931024,-0.03564172192987114,-0.010288878875296448,-0.009933459822614926,-0.038067368407962376,0.030873833710990062,-0.024028520981598606,-0.01207640141843741,-0.003830545541963104,-0.01032426459589414,-0.016782597929227427,0.2531646446345605,0.015431693788142416,0.013568854258313815,0.26866363890653455,one_batch_probe,10717,94,13.0,13.0,0.0,validation_set,100
14,paired,94,0.2933333333333334,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,medium_middle,medium middle,0.9616198583681613,15.0,40.0,0.9570360845268437,1.0290775429483643,1.0076345748833988,0.7957459176400004,0.9956863026356115,0.5,0.5,0.27627252051287937,0.2970690982191184,0.29087904652685226,0.229712059878,0.2874298774275468,0.20697858902270372,1,-0.2933333333333334,-0.9616198583681613,-0.9570360845268437,-0.27627252051287937,-0.2970690982191184,-0.29087904652685226,-0.229712059878,-0.2874298774275468,-0.20697858902270372,-0.34960585384621273,-0.44576783968302885,-0.3724345063496955,-0.018333333333333368,-0.05229361767989027,-0.12217440096519305,-0.03526871164266776,-0.05383791340717284,-0.07175151846577438,0.027309344804886976,-0.04279475950261083,-0.0341937322348187,-0.03985204497600109,-0.04508140674399014,-0.040498073410656754,0.2970690982191184,0.017452742791611135,0.013782723592679999,0.2874298774275468,one_batch_probe,10717,94,26.5,13.0,13.5,validation_set,100
14,paired,94,0.31083333333333335,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,medium_late,medium late,0.9564326186106025,15.0,40.0,0.9208215506532281,0.9300688831912317,0.9312102710374118,0.8232699809117316,0.9987370674725375,0.5,1.0,0.265818285072625,0.26848776003767616,0.2688172503277971,0.2376575725475632,0.2883105573774635,0.19727653978264828,1,-0.31083333333333335,-0.9564326186106025,-0.9208215506532281,-0.265818285072625,-0.26848776003767616,-0.2688172503277971,-0.2376575725475632,-0.2883105573774635,-0.19727653978264828,-0.34352661840595833,-0.4391698802670186,-0.36146154693368526,-0.03583333333333333,-0.04710637792233141,-0.08595986709157744,-0.024814476202413394,-0.025256575225730576,-0.049689722266719194,0.019363832135323777,-0.04367543945252758,-0.02449168299476326,-0.033772809535746684,-0.03848344732797987,-0.029525113994646524,0.26848776003767616,0.016129035019667823,0.01425945435285379,0.2883105573774635,one_batch_probe,10717,94,40.0,13.0,27.0,validation_set,100
14,paired,94,0.27166666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,long_early,long early,1.1852448232952761,15.0,40.0,0.9382103759433993,0.9378493047138488,0.8593151550052436,0.859182828772761,1.0964942152817434,1.0,0.0,0.27083800655371076,0.270733774267922,0.24806291803050118,0.24802471873752888,0.31653061517889103,0.20852541342456632,1,-0.27166666666666667,-1.1852448232952761,-0.9382103759433993,-0.27083800655371076,-0.270733774267922,-0.24806291803050118,-0.24802471873752888,-0.31653061517889103,-0.20852541342456632,-0.33875467322037744,-0.45727915554990506,-0.3893624888832384,0.003333333333333355,-0.2759185826070051,-0.1033486923817486,-0.029834197683499153,-0.027502589455976417,-0.028935389969423297,0.008996685945358102,-0.07189549725395508,-0.0357405566366813,-0.0290008643501658,-0.05659272261086634,-0.05742605594419964,0.270733774267922,0.01488377508183007,0.014881483124251731,0.31653061517889103,one_batch_probe,10717,94,24.0,24.0,0.0,validation_set,100
14,paired,94,0.3875,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,long_middle,long middle,0.8890218733179266,15.0,40.0,0.8579675920995165,0.9017513472129723,0.8241528061086766,0.7948346852511283,0.9111315298252888,1.0,0.5,0.24767391012731546,0.26031319152775867,0.23791242223011497,0.22944900974549523,0.26302101700589303,0.1852945695896067,1,-0.3875,-0.8890218733179266,-0.8579675920995165,-0.24767391012731546,-0.26031319152775867,-0.23791242223011497,-0.22944900974549523,-0.26302101700589303,-0.1852945695896067,-0.3445489101273155,-0.43345109745910815,-0.3365760974591081,-0.11249999999999999,0.020304367370344467,-0.02310590853786576,-0.00667010125710385,-0.017082006715813086,-0.018784894169037086,0.027572394937391748,-0.018385899080957085,-0.012509712801721667,-0.03479510125710383,-0.03276466452006943,-0.004639664520069364,0.26031319152775867,0.014274745333806897,0.013766940584729713,0.26302101700589303,one_batch_probe,10717,94,32.0,24.0,8.0,validation_set,100
14,paired,94,0.3566666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,long_late,long late,0.8709597438927548,15.0,40.0,0.8573808171496653,0.8681264096251583,0.8613524586267389,0.8193835061921063,0.8806608941546578,1.0,1.0,0.2475045227896903,0.25060650814385427,0.24865103692764687,0.23653564393477602,0.2542249021524841,0.1787861278280256,1,-0.3566666666666667,-0.8709597438927548,-0.8573808171496653,-0.2475045227896903,-0.25060650814385427,-0.24865103692764687,-0.23653564393477602,-0.2542249021524841,-0.1787861278280256,-0.336671189456357,-0.42376716384563246,-0.3346004971789658,-0.08166666666666667,0.03836649679551629,-0.022519133588014606,-0.006500713919478679,-0.007375323331908684,-0.029523508866568987,0.020485760748110954,-0.009589784227548165,-0.006001271040140588,-0.026917380586145345,-0.02308073090659374,-0.0026640642399270442,0.25060650814385427,0.014919062215658812,0.01419213863608656,0.2542249021524841,one_batch_probe,10717,94,40.0,24.0,16.0,validation_set,100
14,paired,94,0.3775,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_early,short early,1.0600488323117898,15.0,40.0,1.1779551357349511,1.2834322045212048,1.1289992355832381,1.0502359814499602,1.249153121385402,0.0,0.0,0.34004635735493816,0.37049496438347623,0.3259140062894321,0.3031770133013827,0.3605994454454616,0.2588492655756877,2,-0.3775,-1.0600488323117898,-1.1779551357349511,-0.34004635735493816,-0.37049496438347623,-0.3259140062894321,-0.3031770133013827,-0.3605994454454616,-0.2588492655756877,-0.43442135735493814,-0.5404262405861171,-0.4460512405861171,-0.07583333333333331,-0.023512962525886305,-0.1905024915157102,-0.054993332378944826,-0.12458739672874064,-0.03371097963508951,-0.022484554882767904,-0.03919039826918136,-0.056139298781607005,-0.07395166571227813,-0.07630296196486674,-0.057344628631533445,0.37049496438347623,0.019554840377365927,0.018190620798082962,0.3605994454454616,one_batch_probe,20717,94,2.0,2.0,0.0,validation_set,100
14,paired,94,0.3866666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_middle,short middle,1.1276545291133162,15.0,40.0,1.1595111038857229,1.2018817031205997,1.208919497712961,1.051330917594028,1.1759122971153033,0.0,0.5,0.3347220239783912,0.3469533624153821,0.34898499871658256,0.3034930941401442,0.3394566406414558,0.24309333674639963,2,-0.3866666666666667,-1.1276545291133162,-1.1595111038857229,-0.3347220239783912,-0.3469533624153821,-0.34898499871658256,-0.3034930941401442,-0.3394566406414558,-0.24309333674639963,-0.43138869064505786,-0.5441541435563895,-0.4474874768897228,-0.08500000000000002,-0.0911186593274127,-0.17205845966648192,-0.04966899900239785,-0.10104579476064651,-0.05678197206223995,-0.022800635721529405,-0.018047593465175593,-0.04038336995231892,-0.07091899900239784,-0.08003086493513911,-0.05878086493513912,0.3469533624153821,0.020939099922994954,0.01820958564840865,0.3394566406414558,one_batch_probe,20717,94,21.0,2.0,19.0,validation_set,100
