method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
fixed_dumb,10,15.0,0.0,40.0,0.0,3,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,3,27.982656299420647,7.691360341582298,5.453160589912477,3.2151371808898737,22.529495709508165,10.906497522472172
bo_marginal_random,10,15.0,0.0,40.0,0.0,3,27.573866755886797,11.121944723390374,11.961369386892157,8.490888139819763,15.612497368994644,9.996105966080039
random,10,15.0,0.0,40.0,0.0,4,26.46139497665605,6.434288711613339,12.060305094149957,6.077315154901657,14.40108988250609,6.990625892823709
fixed_dumb,10,15.0,0.0,40.0,0.0,4,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,4,21.608934848215696,1.317638890377351,7.699177598602484,0.9691201721998679,13.909757249613213,2.286759062577218
bo_marginal_random,10,15.0,0.0,40.0,0.0,4,29.55558613866209,8.713522621952063,14.227554619595661,8.18908926311453,15.328031519066432,9.449432042098051
random,10,15.0,0.0,40.0,0.0,5,25.112735874527242,6.485241953556012,16.27133663393297,5.6764758835250975,8.841399240594269,4.863818606981451
fixed_dumb,10,15.0,0.0,40.0,0.0,5,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,5,37.785679825961374,1.2591337721760922,23.332615917158467,0.40582423512326393,14.453063908802903,0.8533095370528302
bo_marginal_random,10,15.0,0.0,40.0,0.0,5,25.976535997701728,12.362993253761504,10.02535613253099,7.629134966026566,15.95117986517074,11.493787745765099
random,10,15.0,0.0,40.0,0.0,6,24.293958872846773,8.718279620963964,13.71915230478194,6.159782684004076,10.574806568064833,7.369194186286732
fixed_dumb,10,15.0,0.0,40.0,0.0,6,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,6,30.794009171142726,8.945375721141506,17.50025407749525,5.414879587174701,13.293755093647485,3.530496133966807
bo_marginal_random,10,15.0,0.0,40.0,0.0,6,25.874877379942404,10.909909608177289,14.026039239535518,6.885405757634623,11.848838140406883,6.515088990086629
random,10,15.0,0.0,40.0,0.0,7,30.6816426238288,6.024591717401433,16.917844297474723,5.5213054272691835,13.763798326354074,8.405553822507022
fixed_dumb,10,15.0,0.0,40.0,0.0,7,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,7,20.987622943642453,14.68639369736049,4.243551478255738,2.0055280692331356,16.744071465386718,16.691921766593627
bo_marginal_random,10,15.0,0.0,40.0,0.0,7,28.421248373253682,11.15258303867737,9.822137844399109,6.796465098408325,18.599110528854577,11.360843384387046
random,10,15.0,0.0,40.0,0.0,8,27.809958081267467,11.310930696051907,13.407492017712437,7.767367409764423,14.40246606355503,9.529732590525526
fixed_dumb,10,15.0,0.0,40.0,0.0,8,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,8,17.92271237184658,15.04021228877693,9.175023920824415,6.767671474837424,8.747688451022162,8.272540813939504
bo_marginal_random,10,15.0,0.0,40.0,0.0,8,26.76005764061143,7.397699441230152,12.463732287429696,8.14647925015669,14.296325353181732,6.1112387662424155
random,10,15.0,0.0,40.0,0.0,9,23.652710808391184,7.912385774861929,11.664239699160031,7.530176635394446,11.988471109231153,9.212691425632729
fixed_dumb,10,15.0,0.0,40.0,0.0,9,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,9,19.632076953452735,13.330847707170774,11.095887471575356,4.846807924086483,8.536189481877377,8.484039783084288
bo_marginal_random,10,15.0,0.0,40.0,0.0,9,27.186475999160468,9.618399364542922,14.321476077330365,8.793576540666526,12.864999921830105,9.3898466452947
random,10,15.0,0.0,40.0,0.0,10,28.72369126853888,5.303784369096159,18.238423570353522,5.982880005670688,10.485267698185353,7.111898465146661
fixed_dumb,10,15.0,0.0,40.0,0.0,10,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,10,18.795451493469365,15.91295141039971,12.707441014737125,10.300088568750136,6.088010478732231,5.612862841649575
bo_marginal_random,10,15.0,0.0,40.0,0.0,10,28.848124668913403,6.234142364177785,11.781760853068917,7.498500319716439,17.066363815844483,7.9954711054754055
random,10,15.0,0.0,40.0,0.0,11,26.044461973715272,9.691607103231215,10.899573748961165,4.363322167755673,15.144888224754109,7.407730629858623
fixed_dumb,10,15.0,0.0,40.0,0.0,11,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,11,34.44646842480305,0.2619344790660243,23.43818354831913,0.43065396483187257,11.00828487648391,0.692588443897896
bo_marginal_random,10,15.0,0.0,40.0,0.0,11,28.987987262568613,8.450792427008455,14.936607209871871,7.835390244025462,14.051380052696738,9.00347775392594
