method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
abc_knn,1000,0,616,hard_window,,31,200,10,0.06,4,48,12,350,0.16365355798330067,0.2202429806559404,0.7629440650129963,0.025000000000000005,0.8374451099857241,,0.22989581921487995,0.22989581921487995,0.7963824786556828,0.013878530491830438,0.2313088415305073,0.8012773315414732,0.2322901531762517,0.2322901531762517,0.8046766947984498,0.011248626522127358,0.18747710870212264,0.6494397550563794
gaussian_npe,1000,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.10669368118240867,0.1427262713262839,0.4944183070239695,0.09083333333333336,0.7182449379717426,8.13539036995048,0.16022285397305472,0.16022285397305472,0.5550282472300394,0.010820929830987156,0.1803488305164526,0.6247466750802486,0.1404158265536893,0.1404158265536893,0.4864146915555379,0.005395054455716342,0.08991757426193904,0.311483614230052
rectified_fmpe,1000,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.10312948025530685,0.1378946388066734,0.47768104100903463,0.18583333333333338,0.7243904312658028,,0.15052213589274252,0.15052213589274252,0.5214239740600338,0.010145674480640311,0.16909457467733852,0.5857607892508,0.14054474439175427,0.14054474439175427,0.4868612760465988,0.005485026015891502,0.09141710026485837,0.31667812467870593
prior_mean,100,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.198147017011435,0.27870359606490924,0.9654575772731526,0.01874999999999997,1.0260185042111667,,0.28798638980164176,0.28798638980164176,0.997614118049558,0.017234054029053092,0.28723423381755153,0.9950085732902357,0.27121299087168765,0.27121299087168765,0.9395093597249542,0.016102846186125373,0.26838076976875624,0.9296982580278622
abc_knn,100,1,10616,hard_window,,10,200,10,0.06,4,48,12,350,0.16496723500665947,0.23018894403268092,0.7973978928104641,0.047916666666666684,0.8827442044460353,,0.23791078919821737,0.23791078919821737,0.8241471491202426,0.015363162841985743,0.2560527140330957,0.8869926202424525,0.2277643089775464,0.2277643089775464,0.7889987105998529,0.011941677835311852,0.1990279639218642,0.6894530912793085
gaussian_npe,100,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.17383003504776853,0.23242975330916069,0.8051602838443332,0.17333333333333334,0.9921460500988953,5.19851461449477,0.2282413930873495,0.2282413930873495,0.7906513784351784,0.013900532641251712,0.23167554402086188,0.8025476262305855,0.261579974032771,0.261579974032771,0.9061396105346138,0.012493326125739621,0.20822210209566036,0.7213025201769554
rectified_fmpe,100,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.17358451181749074,0.23350848095100205,0.8088971060107297,0.2891666666666667,1.003479743715807,,0.23816398299730843,0.23816398299730843,0.8250242381686167,0.014125584780252028,0.23542641300420047,0.8155410175339389,0.2518891308846702,0.2518891308846702,0.8725695451332312,0.012513263815069741,0.20855439691782904,0.7224536232071318
prior_mean,250,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.198147017011435,0.27870359606490924,0.9654575772731526,0.01874999999999997,1.0260185042111667,,0.28798638980164176,0.28798638980164176,0.997614118049558,0.017234054029053092,0.28723423381755153,0.9950085732902357,0.27121299087168765,0.27121299087168765,0.9395093597249542,0.016102846186125373,0.26838076976875624,0.9296982580278622
abc_knn,250,1,10616,hard_window,,15,200,10,0.06,4,48,12,350,0.15750196424195226,0.2160793466872273,0.748520813857135,0.020000000000000018,0.8794006136290861,,0.22448904925439775,0.22448904925439775,0.7776528781028981,0.0141991173530376,0.23665195588396,0.8197864226031345,0.22025000198464728,0.22025000198464728,0.7629683876091102,0.010975582777554253,0.18292637962590422,0.6336755671133968
gaussian_npe,250,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.14522052010109127,0.19582407804881444,0.6783545050517598,0.10583333333333335,0.8355189552099124,7.244667747757729,0.20170709041699011,0.20170709041699011,0.6987338576982325,0.012439376042083089,0.20732293403471816,0.7181877106447653,0.20836608908271306,0.20836608908271306,0.7218013057313635,0.009954011919650181,0.16590019866083636,0.5746951461326776
rectified_fmpe,250,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.13550345358381347,0.1856597577534423,0.6431442666997838,0.22291666666666668,0.8855850371280055,,0.19233284792076566,0.19233284792076566,0.6662605291263684,0.01202490180099463,0.20041503001657715,0.6942580291783065,0.19030643410779613,0.19030643410779613,0.6592408257639232,0.009575083138117817,0.1595847189686303,0.5528176827305369
prior_mean,500,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.198147017011435,0.27870359606490924,0.9654575772731526,0.01874999999999997,1.0260185042111667,,0.28798638980164176,0.28798638980164176,0.997614118049558,0.017234054029053092,0.28723423381755153,0.9950085732902357,0.27121299087168765,0.27121299087168765,0.9395093597249542,0.016102846186125373,0.26838076976875624,0.9296982580278622
abc_knn,500,1,10616,hard_window,,22,200,10,0.06,4,48,12,350,0.15659178861255826,0.21137194555398342,0.7322138979883634,0.02999999999999999,0.8625084389643273,,0.2194195879559182,0.2194195879559182,0.7600917490309568,0.013673719283950702,0.22789532139917837,0.7894525509412315,0.22280330049808691,0.22280330049808691,0.7718132731134453,0.010522174341765009,0.17536957236275016,0.6074980188678202
gaussian_npe,500,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.11659736437197024,0.15853453620941121,0.5491797429381362,0.08250000000000002,0.8789436137054326,8.113779575390163,0.16323477614823673,0.16323477614823673,0.5654618517017566,0.010540751552542617,0.17567919254237696,0.6085705746321446,0.16602103934286913,0.16602103934286913,0.5751137505344815,0.007752188208249724,0.12920313680416207,0.4475727948841621
rectified_fmpe,500,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.10961667865629646,0.15110577057589325,0.5234457439085868,0.15541666666666668,0.8300105866852049,,0.15720917303985948,0.15720917303985948,0.5445885502418479,0.010623630230247007,0.17706050383745012,0.6133555773204156,0.15226835049072998,0.15226835049072998,0.5274730388692994,0.007073103296132005,0.11788505493553342,0.40836580920278426
prior_mean,1000,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.198147017011435,0.27870359606490924,0.9654575772731526,0.01874999999999997,1.0260185042111667,,0.28798638980164176,0.28798638980164176,0.997614118049558,0.017234054029053092,0.28723423381755153,0.9950085732902357,0.27121299087168765,0.27121299087168765,0.9395093597249542,0.016102846186125373,0.26838076976875624,0.9296982580278622
abc_knn,1000,1,10616,hard_window,,31,200,10,0.06,4,48,12,350,0.1553181369302527,0.20700831040357157,0.7170978224159499,0.03624999999999997,0.8767535296308536,,0.21544661586340763,0.21544661586340763,0.7463289699883937,0.01329504748639902,0.22158412477331701,0.7675899245161332,0.22315795664833166,0.22315795664833166,0.7730418380563266,0.010070672659753796,0.16784454432922993,0.5814305571029459
gaussian_npe,1000,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.09538990440838975,0.1309817995976061,0.45373426353971696,0.08333333333333336,0.7611531440588443,8.563574411769368,0.12571787618810804,0.12571787618810804,0.4354994979549132,0.009150748863683292,0.1525124810613882,0.528318731973421,0.1430744630785915,0.1430744630785915,0.4956244786355158,0.006157342683740205,0.10262237806233675,0.35549434559501797
rectified_fmpe,1000,1,10616,hard_window,,,200,10,0.06,4,48,12,350,0.08859400000351644,0.12191145084167189,0.42231365376442254,0.13125,0.7413043066150345,,0.11660085195804462,0.11660085195804462,0.40391719959430056,0.008892925160234433,0.14821541933724056,0.5134332735144546,0.1330101555438744,0.1330101555438744,0.46076069464925923,0.0053891625916516785,0.08981937652752797,0.3111434472996758
prior_mean,100,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.2082560716195361,0.28960346704450013,1.0032158379383462,0.006249999999999978,1.059797710073855,,0.3012505480016581,0.3012505480016581,1.0435625098936774,0.017132276087495405,0.2855379347915901,0.989132421094646,0.28660864179489126,0.28660864179489126,0.9928414589541208,0.017101004615391657,0.28501674358986095,0.9873269618109406
abc_knn,100,2,20616,hard_window,,10,200,10,0.06,4,48,12,350,0.18083881216463343,0.2429337955693848,0.8415473536034509,0.08458333333333334,1.0016568693694363,,0.24649145262740957,0.24649145262740957,0.8538714391642607,0.015022982771495124,0.2503830461915854,0.867352314715382,0.2639447476188362,0.2639447476188362,0.9143314265335373,0.01265495615038248,0.210915935839708,0.7306342340006234
gaussian_npe,100,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.17179892866741767,0.23364145219372778,0.8093577319074228,0.1066666666666667,1.9021805054577536,6.30286505351144,0.23310910462207884,0.23310910462207884,0.807513625824659,0.013805713686646877,0.23009522811078129,0.7970732513340475,0.25170486423465527,0.25170486423465527,0.8719312267332985,0.013179396708443742,0.2196566118073957,0.7609128237376862
rectified_fmpe,100,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.18324873388670065,0.24272917766533744,0.8408385363915545,0.3045833333333334,0.9485007223134719,,0.2660541892837656,0.2660541892837656,0.9216387468120583,0.014303833329896851,0.23839722216494752,0.8258322023459488,0.25132515909343073,0.25132515909343073,0.8706158895403064,0.01290840840715236,0.215140140119206,0.7452673068679043
prior_mean,250,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.2082560716195361,0.28960346704450013,1.0032158379383462,0.006249999999999978,1.059797710073855,,0.3012505480016581,0.3012505480016581,1.0435625098936774,0.017132276087495405,0.2855379347915901,0.989132421094646,0.28660864179489126,0.28660864179489126,0.9928414589541208,0.017101004615391657,0.28501674358986095,0.9873269618109406
abc_knn,250,2,20616,hard_window,,15,200,10,0.06,4,48,12,350,0.17088261617579822,0.23061151238331587,0.7988617125164047,0.04291666666666669,0.9284360822593021,,0.23986903784767274,0.23986903784767274,0.8309307214296622,0.01413117003584436,0.235519500597406,0.8158634824159116,0.242726852851858,0.242726852851858,0.8408304830014253,0.0122598394941796,0.20433065823632668,0.7078221632186197
gaussian_npe,250,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.15105347431227,0.20013791878841156,0.6932980877252453,0.19250000000000003,0.933754455159863,6.346167338904528,0.20089739021586334,0.20089739021586334,0.6959289739237319,0.011579592413666212,0.1929932068944369,0.6685480797136336,0.22506898402985118,0.22506898402985118,0.7796618310952208,0.010895525640809691,0.18159209401349485,0.6290534661683945
rectified_fmpe,250,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.1492784652542635,0.19884590622707074,0.6888224249247261,0.20875000000000007,0.957649593262907,,0.20885497274415268,0.20885497274415268,0.723494848412571,0.01204870700217591,0.20081178336959848,0.695632423109319,0.21275095258276247,0.21275095258276247,0.7369909184640432,0.01037795497270616,0.17296591621176935,0.5991715097129717
prior_mean,500,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.2082560716195361,0.28960346704450013,1.0032158379383462,0.006249999999999978,1.059797710073855,,0.3012505480016581,0.3012505480016581,1.0435625098936774,0.017132276087495405,0.2855379347915901,0.989132421094646,0.28660864179489126,0.28660864179489126,0.9928414589541208,0.017101004615391657,0.28501674358986095,0.9873269618109406
abc_knn,500,2,20616,hard_window,,22,200,10,0.06,4,48,12,350,0.16450082729309878,0.22458245945784955,0.7779764605395458,0.02124999999999999,0.9323710503135951,,0.231975747436734,0.231975747436734,0.803587561368378,0.014002916004462247,0.23338193340770413,0.8084587324615997,0.23256973059273942,0.23256973059273942,0.8056451793784609,0.012024145583653242,0.2004024263942207,0.6942143689497449
gaussian_npe,500,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.12554267570521052,0.16698650912973226,0.5784582359825209,0.14458333333333334,0.851603047269903,7.510608921513928,0.18269783159533753,0.18269783159533753,0.6328838535115742,0.011144296809355287,0.18573828015592148,0.6434162762810363,0.1717042726518926,0.1717042726518926,0.5948010482194744,0.007668339126946645,0.1278056521157774,0.4427317659179985
rectified_fmpe,500,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.10914051267449804,0.14815100017546645,0.5132101189921071,0.14958333333333337,0.7751616492911797,,0.1514131455337962,0.1514131455337962,0.5245105219967112,0.010006953663673733,0.16678256106122888,0.5777517391490141,0.15675040702700607,0.15675040702700607,0.5429993381557521,0.0070594732247900825,0.11765788707983471,0.407578876666951
prior_mean,1000,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.2082560716195361,0.28960346704450013,1.0032158379383462,0.006249999999999978,1.059797710073855,,0.3012505480016581,0.3012505480016581,1.0435625098936774,0.017132276087495405,0.2855379347915901,0.989132421094646,0.28660864179489126,0.28660864179489126,0.9928414589541208,0.017101004615391657,0.28501674358986095,0.9873269618109406
abc_knn,1000,2,20616,hard_window,,31,200,10,0.06,4,48,12,350,0.16086596762203847,0.21738856631165843,0.7530560836726967,0.013750000000000004,0.8974349779113439,,0.22726324803081757,0.22726324803081757,0.7872629845650072,0.013452347700880773,0.22420579501467958,0.7766716566335958,0.22704736272903622,0.22704736272903622,0.786515135942422,0.011462271568326016,0.19103785947210028,0.6617745575497619
gaussian_npe,1000,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.10615155443585048,0.14499057822891762,0.5022620962225505,0.05291666666666672,0.826214328887292,8.367635329308605,0.14057355587116196,0.14057355587116196,0.4869610819389495,0.009465061565375693,0.15775102608959488,0.5464655842666036,0.15864311647595453,0.15864311647595453,0.5495558760148409,0.007379676868737548,0.12299461447895914,0.4260658426698078
rectified_fmpe,1000,2,20616,hard_window,,,200,10,0.06,4,48,12,350,0.10013757579630293,0.1322521219187643,0.4581347891441866,0.17333333333333337,0.7175493152404797,,0.13788003477547525,0.13788003477547525,0.4776304511609735,0.008796576333104726,0.14660960555174546,0.5078705713865105,0.14486580679373867,0.14486580679373867,0.501829875292424,0.0059791824332458676,0.0996530405540978,0.3452082587368383
