coverage_error,method,posterior_mean_rmse,replicate,round,simulations
0.337037037037037,random_fmpe,0.16704553171503309,3,4,184
0.35740740740740745,random_fmpe,0.17374938911817095,3,5,200
0.3726851851851852,random_fmpe,0.15980953239491505,3,6,216
0.36435185185185187,random_fmpe,0.16401637176578845,3,7,232
0.3439814814814815,random_fmpe,0.15553803568609134,3,8,248
0.3268518518518519,random_fmpe,0.16178171184995993,3,9,264
0.31712962962962965,random_fmpe,0.1597283929617929,3,10,280
0.2532407407407407,random_fmpe,0.15643944421924807,3,11,296
0.312962962962963,random_fmpe,0.15644012439871285,3,12,312
0.3393518518518519,random_fmpe,0.15554042720696581,3,13,328
0.33888888888888885,random_fmpe,0.15339662280508595,3,14,344
0.3101851851851852,random_fmpe,0.14865066923204226,3,15,360
0.30277777777777776,random_fmpe,0.16081632033126503,3,16,376
0.2606481481481482,random_fmpe,0.1494688223418332,3,17,392
0.3537037037037038,random_fmpe,0.1520310137779012,3,18,408
0.30833333333333335,random_fmpe,0.14411873878372394,3,19,424
0.3287037037037037,random_fmpe,0.14592694333782943,3,20,440
0.3074074074074074,bo_fmpe,0.18506585771673106,3,0,120
0.3768518518518518,bo_fmpe,0.17725274670848584,3,1,136
0.3300925925925926,bo_fmpe,0.1775216052415877,3,2,152
0.3712962962962963,bo_fmpe,0.18625613105527292,3,3,168
0.3828703703703704,bo_fmpe,0.18386883315007427,3,4,184
0.3583333333333334,bo_fmpe,0.1818538208833372,3,5,200
0.3615740740740741,bo_fmpe,0.1865875943414742,3,6,216
0.29814814814814816,bo_fmpe,0.17657001562085267,3,7,232
0.29398148148148145,bo_fmpe,0.1710450920991558,3,8,248
0.37592592592592594,bo_fmpe,0.17723427793977345,3,9,264
0.362962962962963,bo_fmpe,0.17704223028288268,3,10,280
0.2763888888888889,bo_fmpe,0.1712268769686832,3,11,296
0.3083333333333334,bo_fmpe,0.17294787584182775,3,12,312
0.33657407407407414,bo_fmpe,0.16474894553996444,3,13,328
0.33564814814814814,bo_fmpe,0.160867552460908,3,14,344
0.2837962962962963,bo_fmpe,0.15319627044904946,3,15,360
0.3444444444444445,bo_fmpe,0.15313164058251014,3,16,376
0.387962962962963,bo_fmpe,0.16025931346430017,3,17,392
0.31712962962962965,bo_fmpe,0.15696907195300797,3,18,408
0.32083333333333336,bo_fmpe,0.14932481309298754,3,19,424
0.3087962962962963,bo_fmpe,0.15098381526652718,3,20,440
0.3240740740740741,random_fmpe,0.17001310778798076,4,0,120
0.3824074074074075,random_fmpe,0.1807815878208373,4,1,136
0.35092592592592603,random_fmpe,0.16817525980980436,4,2,152
0.3537037037037038,random_fmpe,0.17176024978960772,4,3,168
0.3421296296296297,random_fmpe,0.1671049082920959,4,4,184
0.3430555555555556,random_fmpe,0.17714717079376277,4,5,200
