abc_k_used_mean,abc_k_used_std,budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
,,230,0.1454166666666667,0.020416666666666666,gaussian_npe,0.9759913320140055,0.02878221031034861,-0.35865631931423625,0.013423785167056251,0.8096187888142803,0.02618207184699395,0.7979590495149705,0.031103192635929533,0.7013633583695691,0.0047122308992808,0.8046351736603978,0.022825181465150224,0.7783940925898044,0.018849553762198212,0.2337168128314518,0.007558113114402035,0.2303509360198831,0.008978718320505341,0.20246616187720534,0.0013603038890917102,0.23227816705613602,0.006589062331603265,0.22470301944616905,0.005441397469354736,0.16501207227310077,0.0050047969369734074,2,0.2337168128314518,0.007558113114402035,0.013821056161192984,0.0005387230992303206,0.012147969712632321,8.161823334550296e-05,0.23227816705613602,0.006589062331603265,6.523816060717209,0.24837104446887137
,,230,0.36083333333333334,0.014999999999999958,rectified_fmpe,0.9806556119205905,0.0007450377836364375,-0.44239503691870957,0.01072540608239192,0.8773680100195203,0.027765302682700332,0.843712528917687,0.015074283331809324,0.8592326858007431,0.006139790369689813,0.9408926144834153,0.04664233088496944,0.8803014598053414,0.02390542681729224,0.25327432838156816,0.008015152488994245,0.24355882784464328,0.0043515707697304035,0.24803911122179206,0.0017724048113541419,0.2716123021252653,0.013464481146034352,0.2541211423933172,0.006900902304028275,0.18598896883166105,0.007651729671611818,2,0.25327432838156816,0.008015152488994245,0.014613529670678596,0.0002610942461838241,0.014882346673307524,0.00010634428868124858,0.2716123021252653,0.013464481146034352,,
,,500,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
22.0,0.0,500,0.04958333333333337,0.00041666666666665547,abc_knn,0.9372577091623856,0.028091607532287233,-0.33814293075520824,0.003103289293619804,0.8314120278162868,0.016895287261844083,0.9001388759760058,0.031273421019140324,0.668669890205734,0.008081749550895412,0.8147610135802899,0.04039497662377428,0.803745451894579,0.02012048383846582,0.24000797903361293,0.004877249324330868,0.25984771117639704,0.009027859021940587,0.193028370554639,0.002333000139366298,0.23520124525789637,0.011661025313822362,0.23202132650563634,0.005808283380181883,0.16831900126022298,0.005822412084877812,2,0.24000797903361293,0.004877249324330868,0.015590862670583823,0.0005416715413164349,0.01158170223327834,0.00013998000836197826,0.23520124525789637,0.011661025313822362,,
,,500,0.17458333333333334,0.05124999999999999,gaussian_npe,0.9051821054674947,0.021903571859162252,-0.3405900594826348,0.014729411251958091,0.7629494958123038,0.008426673898266679,0.7124736745525218,0.018497579216627702,0.6593139601306952,0.02903665061222027,0.7255856457254859,0.005901375503234385,0.7150806940552517,0.0009472445014770958,0.22024454839266144,0.0024325712217687367,0.20567343389671014,0.005339791170038216,0.19032754618096756,0.008382159023665237,0.2094585339398689,0.0017035803676907213,0.20642601560255203,0.00027344593395810246,0.1522036828709436,0.0014631716039539139,2,0.22024454839266144,0.0024325712217687367,0.012340406033802608,0.000320387470202293,0.011419652770858053,0.0005029295414199142,0.2094585339398689,0.0017035803676907213,6.684765388485021,0.6572974418474513
,,500,0.2758333333333334,0.04000000000000001,rectified_fmpe,0.8837022785307753,0.017536545973379225,-0.3555813893777957,0.015553378297402248,0.7395478186394804,0.027726317144862234,0.741953801891996,0.05051531424239658,0.6305476526811311,0.009368498305253936,0.6350224961610078,0.034959613666632916,0.6867679423434039,0.013162629006469972,0.2134890660850523,0.008003898333611578,0.2141836136243051,0.014582515138023097,0.18202342850616884,0.0027044525092204674,0.183315204550013,0.010091971180597917,0.19825282819138482,0.003799723700064317,0.14109656877705876,0.0002272393791923344,2,0.2134890660850523,0.008003898333611578,0.012851016817458306,0.0008749509082813861,0.01092140571037013,0.00016226715055322766,0.183315204550013,0.010091971180597917,,
,,1000,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
31.0,0.0,1000,0.02583333333333334,0.007499999999999988,abc_knn,0.9098173315372096,0.033646902488917996,-0.32669204345358976,0.002377673505419453,0.8212258637722242,0.020766798313390566,0.8969201353375975,0.015952569442006237,0.6623639174869496,0.019780482922100995,0.7960986581364236,0.022718382461159592,0.7941521436832987,0.009914316823613878,0.2370674867571883,0.005994858298221356,0.2589185407893788,0.004605110130804252,0.1912079930312927,0.005710133569887907,0.229813887288282,0.0065582321147516776,0.2292519769665355,0.002862016743472348,0.16537011833917442,0.004427524038870492,2,0.2370674867571883,0.005994858298221356,0.015535112447362727,0.0002763066078482557,0.011472479581877562,0.0003426080141932745,0.229813887288282,0.0065582321147516776,,
,,1000,0.1554166666666667,0.0062500000000000056,gaussian_npe,0.8447979829026705,0.05020574328174521,-0.28790860350054853,0.00043148213535654234,0.6587321109955622,0.03169065578894886,0.5893905061505267,0.010169037019009397,0.4600318773267852,0.031117201503452124,0.5722585902857186,0.0122620674918279,0.5701032711896482,0.021309740450809578,0.19015958080356915,0.009148304325272708,0.1701423836919082,0.002935548130162169,0.13279976410521416,0.008982762332222963,0.1651968255737677,0.0035397539836140995,0.16457463854361482,0.006151592192817981,0.1261244893834362,0.00461941685533334,2,0.19015958080356915,0.009148304325272708,0.010208543021514492,0.0001761328878097301,0.00796798584631285,0.0005389657399333773,0.1651968255737677,0.0035397539836140995,7.443443409939572,0.25867542809914923
,,1000,0.22416666666666668,0.003333333333333327,rectified_fmpe,0.8859993635501584,0.03342558598526102,-0.32370909645419144,0.012690507944478485,0.7605298543571912,0.029500094430771895,0.6510728614325004,0.026580721581032307,0.4768244107540174,0.010857378560641923,0.5928048463291842,0.05104378575391938,0.6203079932182232,0.029495495081591383,0.21954605806993563,0.008515943730362768,0.18794854590505702,0.007673193380031751,0.1376473509525083,0.0031342552173401345,0.17112801880253461,0.014735071722741466,0.17906749343250888,0.008514616012619047,0.13939303640445405,0.007887715440980894,2,0.21954605806993563,0.008515943730362768,0.011276912754303422,0.0004603916028019057,0.008258841057150499,0.00018805531304040817,0.17112801880253461,0.014735071722741466,,
,,2000,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
