method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
gaussian_npe,230,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17001686921007417,0.2301444169155238,0.7972436463520026,0.16583333333333336,1.004773542324354,-0.37208010448129253,6.77218710518608,0.2412749259458538,0.2412749259458538,0.8358008606612742,0.014359779260423306,0.23932965434038844,0.8290622421509001,0.23886722938773927,0.23886722938773927,0.827460355125548,0.012066351479286818,0.20110585798811365,0.6966511274702883
rectified_fmpe,230,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.19364069850327287,0.26102204469734547,0.9042068866226336,0.3758333333333333,0.9814006497042269,-0.4531204430011015,,0.2612894808705624,0.2612894808705624,0.9051333127022205,0.01487462391686242,0.24791039861437367,0.8587868122494964,0.2850767832712997,0.2850767832712997,0.9875349453683848,0.014988690961988772,0.24981151603314622,0.8653724761704329
prior_mean,500,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,500,0,717,wide_window,,22,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1741414133451008,0.23782960988581822,0.8238659357330449,0.050000000000000024,0.9091661016300984,-0.34124622004882804,,0.2448852283579438,0.2448852283579438,0.8483073150781308,0.016132534211900258,0.26887557019833763,0.9314122969951462,0.24686227057171872,0.24686227057171872,0.8551559902040641,0.011441722224916361,0.1906953704152727,0.6605881406548385
gaussian_npe,500,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.15366685447489753,0.20669946153651012,0.7160279385567287,0.12333333333333335,0.8832785336083324,-0.32586064823067673,7.342062830332472,0.22267711961443018,0.22267711961443018,0.7713761697105704,0.0126607935040049,0.21101322506674836,0.7309712537691494,0.21116211430755963,0.21116211430755963,0.7314870212287203,0.010916723229438138,0.18194538715730232,0.6302773095184749
rectified_fmpe,500,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1413238081562511,0.1944531044913205,0.6736053133369339,0.23583333333333334,0.8661657325573962,-0.34002801108039343,,0.2054851677514407,0.2054851677514407,0.7118215014946181,0.01197606590917692,0.19960109848628202,0.6914384876495995,0.19340717573061092,0.19340717573061092,0.6699821098276407,0.010759138559816903,0.17931897599694838,0.6211791543758771
prior_mean,1000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,1000,0,717,wide_window,,31,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1697976423780449,0.23211399371000782,0.8040664605069126,0.01833333333333335,0.8761704290482916,-0.3243143699481703,,0.24306234505540966,0.24306234505540966,0.8419926620856147,0.015811419055210982,0.26352365092018304,0.9128727047796038,0.23637211940303368,0.23637211940303368,0.8188170405975831,0.011129871567684288,0.18549785946140482,0.6425834345648486
gaussian_npe,1000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.12150507252810287,0.15842304635079685,0.5487935307388386,0.1616666666666667,0.8950037261844157,-0.2883400856359051,7.7021188380387215,0.18101127647829643,0.18101127647829643,0.6270414552066133,0.010032410133704761,0.16720683556174604,0.5792214691315173,0.1616570715901536,0.1616570715901536,0.5599965227938907,0.007429020106379473,0.12381700177299121,0.4289146758233331
rectified_fmpe,1000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.13150532096347317,0.17055287741988984,0.5908124981366318,0.22083333333333335,0.8525737775648974,-0.3110185885097129,,0.21103011433957286,0.21103011433957286,0.7310297599264193,0.010816521151501515,0.18027535252502527,0.6244921398514681,0.15639294707979315,0.15639294707979315,0.5417610605752647,0.00807078574411009,0.13451309573516818,0.46596703219337543
