abc_k_used_mean,abc_k_used_std,budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
,,230,0.10666666666666669,0.04,gaussian_npe,0.9503792193255602,0.005179142107019197,-0.349379390111265,0.013875325961097085,0.8676982922727745,0.03225509477956917,0.8089008174165342,0.009721398294607275,0.6844660396425669,0.025886212855488422,0.7936894412442579,0.012454612158817935,0.7886886476440333,0.015218630374817077,0.25048292130953254,0.009311243826860577,0.23350955234157217,0.0028063259611455366,0.19758832611939653,0.007472705980208119,0.229118406277668,0.0035953368412729586,0.22767480151204234,0.004393240171799026,0.16999066202633173,0.004645875456032664,2,0.25048292130953254,0.009311243826860577,0.01401057314049433,0.00016837955766873212,0.011855299567163791,0.00044836235881248656,0.229118406277668,0.0035953368412729586,6.642182254241657,0.23611971346792338
,,230,0.3129166666666667,0.009583333333333333,rectified_fmpe,0.9656919863313504,0.016755435861360357,-0.41858056894508067,0.00777436072450835,0.9409177735429508,0.048809155654867376,0.8385269147756167,0.053597224874935734,0.7339596078537192,0.0063989571529941,0.8645410053855194,0.0017366512863892791,0.8444863253894516,0.024436018665799586,0.27161956492016304,0.014089989578128015,0.24206186998422435,0.015472186104680527,0.2118758885843285,0.0018472198174070281,0.24957149109239968,0.0005013280438426887,0.2437822036452789,0.007054070977311061,0.18474320088518473,0.005364619440978019,2,0.27161956492016304,0.014089989578128015,0.014523712199053462,0.0009283311662808312,0.012712553315059709,0.00011083318904442103,0.24957149109239968,0.0005013280438426887,,
,,500,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
22.0,0.0,500,0.04416666666666668,0.005833333333333329,abc_knn,0.9384337100782798,0.038857095822571686,-0.3366782422023262,0.0003532744235775209,0.8372392394696451,0.010201215020701426,0.904072833178392,0.05509932462203293,0.667938153298258,0.01711441671848596,0.8025706307849729,0.030758221862008772,0.8029552141828169,0.019736086196564362,0.2416901501419586,0.002944837119131613,0.26098334680128615,0.015905804951348648,0.1928171363043854,0.004940506549720655,0.23168218486369596,0.008879133835912503,0.2317932045278315,0.005697317339168034,0.16769734448891987,0.0041449523096614566,2,0.2416901501419586,0.002944837119131613,0.015659000808077167,0.0009543482970809187,0.011569028178263125,0.00029643039298323914,0.23168218486369596,0.008879133835912503,,
,,500,0.1691666666666667,0.027499999999999983,gaussian_npe,0.8850451372648483,0.05686928653537249,-0.33464068978373485,0.007330319337938068,0.7767810729051174,0.021658994219582228,0.7215014395359565,0.02393971510866577,0.6147904099080997,0.005496356657300194,0.7114794545183575,0.021396239134198747,0.7061380942168828,0.018122826279936777,0.22423738077158795,0.006252413071526186,0.2082795251683935,0.0069108004811555684,0.1774747043278209,0.001586661497827213,0.20538642729453094,0.006176562211887629,0.20384450939058332,0.005231609315599156,0.15226268831616302,0.004395039749737442,2,0.22423738077158795,0.006252413071526186,0.012496771510103609,0.0004146480288693341,0.010648482259669252,9.519968986963345e-05,0.20538642729453094,0.006176562211887629,7.254504902762121,0.15882025204296912
,,500,0.26916666666666667,0.0008333333333333248,rectified_fmpe,0.9149940962856569,0.004741894408076763,-0.35508544774267725,0.0007177781157226837,0.7720135692702594,0.0499224474529224,0.7158126422908353,0.0012075960722353618,0.5795203804891819,0.007807763535651158,0.6525880046439003,0.023919141692484047,0.6799836491735443,0.004850784574255584,0.22286112101811406,0.014411369237774849,0.20663731085797554,0.00034860295868871516,0.16729312383815176,0.0022539071895385787,0.1883859300755383,0.00690486144747024,0.19629437144744494,0.0014003008898636898,0.14630754502438187,0.00326342885106487,2,0.22286112101811406,0.014411369237774849,0.012398238651478533,2.091617752132246e-05,0.010037587430289105,0.0001352344313723143,0.1883859300755383,0.00690486144747024,,
,,1000,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
31.0,0.0,1000,0.02083333333333335,0.004166666666666671,abc_knn,0.9321956178263734,0.0335998816112526,-0.32527071158957455,0.0017644338507830926,0.8204120079580346,0.022506612012160476,0.8815810614703081,0.032719730785757684,0.658818123826094,0.00017162827596040042,0.7824150744599958,0.030385116480179608,0.7858065669286081,0.021359957750534286,0.23683254682048638,0.006497099251883659,0.25449053157617924,0.009445372688484652,0.19018441056899976,4.9544815663146724e-05,0.22586377692874987,0.008771427589594913,0.22684281647360383,0.006166088678575002,0.16391392013166733,0.005381623371784411,2,0.23683254682048638,0.006497099251883659,0.015269431894570754,0.0005667223613090785,0.011411064634139986,2.972688939788422e-06,0.22586377692874987,0.008771427589594913,,
,,1000,0.1816666666666667,0.03666666666666665,gaussian_npe,0.8946694837420051,0.021156030627899558,-0.29921025383914535,0.014682221657695532,0.6340200798269753,0.01300192410378015,0.5923600752670972,0.002580721160885424,0.4740774252960503,0.015058006236950527,0.5765191190949712,0.016470464362396187,0.5692441748712735,0.011777778966003072,0.1830258318798661,0.0037533321906502715,0.1709996244563228,0.0007449900284702826,0.1368543645556997,0.004346871977181227,0.1664267343012238,0.004754613516653794,0.16432663879827814,0.0033999519282389007,0.12386488210850768,0.002988845052065585,2,0.1830258318798661,0.0037533321906502715,0.010259977467379368,4.469940170821751e-05,0.00821126187334198,0.00026081231863087345,0.1664267343012238,0.004754613516653794,7.333825205172194,0.25410401957604556
,,1000,0.21208333333333337,0.002083333333333326,rectified_fmpe,0.9035517508491195,0.03918536813904405,-0.31790607591253384,0.006559027429933556,0.7343639099167154,0.014186701849500327,0.6146113348843323,0.003948190027572351,0.483103898081209,0.024021678328891044,0.5862804119060081,0.004889357284718565,0.6045898886970662,0.007342708216525107,0.21199260053678087,0.004095348065860996,0.17742300982123224,0.0011397442876153463,0.13946008280187178,0.006934461224785943,0.16924457681726926,0.0014114358722482623,0.17453006749428854,0.002119657282695836,0.1358137121192492,0.0011634670738466663,2,0.21199260053678087,0.004095348065860996,0.010645380589273935,6.838465725692109e-05,0.008367604968112306,0.0004160676734871558,0.16924457681726926,0.0014114358722482623,,
