method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
prior_mean,2000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,2000,0,717,wide_window,,44,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16235115529833932,0.2263363350989486,0.7840520639806278,0.00999999999999999,0.9018544860478597,-0.3190217837037346,,0.22869170956343077,0.22869170956343077,0.7922113204672947,0.015689516736172072,0.26149194560286787,0.9058346711084084,0.2296991612878249,0.2296991612878249,0.7957012356129417,0.011127751436500249,0.18546252394167081,0.6424610287338663
gaussian_npe,2000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.09937167313595631,0.12670689883915115,0.4389255729177996,0.07666666666666666,0.8688217390389086,-0.23275573940970867,8.8812282174157,0.139643332944676,0.139643332944676,0.48373869519687135,0.007374412965305635,0.12290688275509393,0.4257619310634675,0.141088421299624,0.141088421299624,0.48874462810126346,0.006191337501432641,0.10318895835721069,0.35745703730959605
rectified_fmpe,2000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.10140601852732291,0.13342178614832226,0.4621866248909671,0.1625,0.77042268836306,-0.25108905498462825,,0.15018740977546893,0.15018740977546893,0.5202644487765576,0.008290549712000545,0.13817582853334243,0.4786551107953489,0.13588456134479843,0.13588456134479843,0.47071792842680144,0.006566360696380752,0.1094393449396792,0.3791090115651606
prior_mean,80,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,80,1,10717,wide_window,,10,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.19009277410476316,0.25372840048578915,0.8789409619291411,0.1566666666666667,0.9831439009631251,-0.3912094572487683,,0.2752976117094077,0.2752976117094077,0.9536589013661255,0.014576988619358648,0.24294981032264415,0.8416028303360827,0.2614202768946503,0.2614202768946503,0.905586403420517,0.014114754180987262,0.23524590301645437,0.8149157125938391
gaussian_npe,80,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16542503731273914,0.22946518005243172,0.7948907008375042,0.051666666666666694,0.9945257859230898,-0.3418344253114074,6.050267520953009,0.24860003448135368,0.24860003448135368,0.8611757809701587,0.014195305172616805,0.23658841954361343,0.8195663262639199,0.21746622482988542,0.21746622482988542,0.753325100671116,0.012912362481292456,0.21520604135487426,0.7454955954448224
rectified_fmpe,80,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.2017858762705468,0.2718940904965459,0.9418687580354954,0.2783333333333334,1.112313176669785,-0.4527087414968577,,0.282907960593746,0.282907960593746,0.9800219232281236,0.015998376527968247,0.2666396087994708,0.9236666995019458,0.2869675643082234,0.2869675643082234,0.994084803012264,0.015063673697084596,0.25106122828474325,0.8697016063996477
prior_mean,180,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,180,1,10717,wide_window,,13,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1712414612670161,0.2378162428796351,0.8238196310653364,0.09083333333333336,0.9668031880752971,-0.3572048950204981,,0.24384235875775015,0.24384235875775015,0.8446947088117219,0.01511356280762799,0.2518927134604665,0.8725819555398335,0.23966494294408355,0.23966494294408355,0.8302237159444975,0.01295189738137441,0.21586495635624017,0.7477781439652924
gaussian_npe,180,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17634651534373613,0.232451370780182,0.8052351689606134,0.05000000000000001,1.0209755504797577,-0.3470489258281578,6.127081449066959,0.2644542234190692,0.2644542234190692,0.9160963024759982,0.013815812197870302,0.23026353663117172,0.7976562891513734,0.23263255102536337,0.23263255102536337,0.8058627957405773,0.01214731032270742,0.20245517204512367,0.7013252884745048
rectified_fmpe,180,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16740034605799792,0.22803035350852702,0.7899203158893215,0.25583333333333336,0.9148772282782541,-0.38347640966968577,,0.24080832780356282,0.24080832780356282,0.8341845172829437,0.013649067816696486,0.2274844636116081,0.7880292978157174,0.23185079489085852,0.23185079489085852,0.8031547130523952,0.012718669663684717,0.21197782772807863,0.7343127354062298
prior_mean,230,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,230,1,10717,wide_window,,15,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17045154839664783,0.2360152778973704,0.8175809053614668,0.08500000000000002,0.9535818023359458,-0.352623458130965,,0.2471610026117874,0.2471610026117874,0.8561908283465594,0.014932208408354707,0.2488701401392451,0.8621114544159183,0.2339624321687643,0.2339624321687643,0.8104696391573737,0.01284405220018109,0.21406753666968484,0.7415516995260157
gaussian_npe,230,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16534478657029908,0.2232815613402433,0.7734700172692163,0.0666666666666667,0.9555583614325794,-0.3355040641501679,6.406062540773734,0.24117167748267193,0.24117167748267193,0.8354431974932054,0.014178952698163062,0.23631587830271772,0.8186222157111415,0.22552306943639505,0.22552306943639505,0.78123482908544,0.011406937208351306,0.19011562013918842,0.6585798267870785
rectified_fmpe,230,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1793785814442067,0.23672813266796783,0.820050306723652,0.30333333333333334,0.9824474221927108,-0.4108062082205723,,0.257529575342035,0.257529575342035,0.8921086178880835,0.01359538103277263,0.22658968387954384,0.784929689900681,0.24907016304855698,0.24907016304855698,0.86280435409913,0.012823386504104129,0.2137231084017355,0.7403585650067133
prior_mean,500,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,500,1,10717,wide_window,,22,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16355239217925843,0.22609588718866347,0.7832191279862526,0.05000000000000001,0.9772908059008515,-0.33632496777874865,,0.23874531302282698,0.23874531302282698,0.8270380244489436,0.01470465251099625,0.2450775418499375,0.8489735085563591,0.22280305102778344,0.22280305102778344,0.7718124089229641,0.011865458571246363,0.19775764285410607,0.685052570016744
gaussian_npe,500,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1478676485664256,0.19861290007498417,0.688015267936946,0.19666666666666668,0.9419144238002208,-0.3419710091216729,7.095684650719152,0.21798496770006176,0.21798496770006176,0.7551220786855352,0.012082123481234275,0.20136872468723793,0.6975617244272907,0.1992098650826433,0.1992098650826433,0.6900832153841587,0.01055328256979962,0.17588804282999368,0.6092940532507995
rectified_fmpe,500,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.14957097387544674,0.1976946723373086,0.6848344337477998,0.26833333333333337,0.91025220187758,-0.35580322585839996,,0.23727249025588892,0.23727249025588892,0.8219360167231818,0.012419154828999855,0.20698591381666426,0.7170202383630707,0.18148106862806807,0.18148106862806807,0.6286688629514162,0.009902352998916791,0.16503921664861318,0.5717126169535307
prior_mean,1000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,1000,1,10717,wide_window,,31,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.15853229675988292,0.2206767277950288,0.7644466091780738,0.025000000000000022,0.965795499437626,-0.3235062777387914,,0.23033544756860272,0.23033544756860272,0.7979053959458742,0.014702709533261676,0.2450451588876946,0.8488613306845505,0.21709234933915494,0.21709234933915494,0.7520299579798162,0.011414037323079775,0.19023395538466292,0.6589897521020543
gaussian_npe,1000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1208760370564421,0.16092668687003922,0.5574663959052705,0.14500000000000005,0.8735134531141056,-0.2845280321814498,7.5879292247482395,0.17927249968921583,0.17927249968921583,0.6210181557231951,0.01021527806567115,0.17025463442785252,0.5897793541062119,0.16167212078457,0.16167212078457,0.560048654732575,0.007950449554711107,0.13250749257851846,0.45901941905909976
rectified_fmpe,1000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.13465024504540252,0.1724104102115927,0.597247180480541,0.21000000000000005,0.8643663827100755,-0.3113470484826003,,0.2078972524709199,0.2078972524709199,0.7201772080672151,0.010713765246530855,0.1785627541088476,0.6185595249119046,0.17065601268951752,0.17065601268951752,0.5911697691907267,0.00795153729462515,0.13252562157708583,0.45908221975231794
prior_mean,2000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,2000,1,10717,wide_window,,44,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1531375451060121,0.21266565028736076,0.7366954226447673,0.02833333333333336,0.9821915811871266,-0.31796814173940674,,0.22325206832400354,0.22325206832400354,0.7733678504640249,0.014233920507556381,0.23723200845927303,0.8217957836661411,0.20890678875697605,0.20890678875697605,0.7236743443462823,0.010876304136551423,0.18127173560919038,0.6279437121026205
gaussian_npe,2000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.10532033681022038,0.1357120715594915,0.470120406282925,0.05666666666666672,0.8231836634388179,-0.23219710457003997,8.695421945485862,0.1605156245652258,0.1605156245652258,0.5560424343112441,0.008740433722473883,0.14567389537456474,0.5046291762504379,0.13598288197707006,0.13598288197707006,0.471058521087855,0.006040553059266325,0.10067588432110543,0.348751493482163
rectified_fmpe,2000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.10117342797402643,0.13225760846972853,0.4581537951142433,0.15083333333333337,0.7023830382596881,-0.2402042456290307,,0.1579424112781766,0.1579424112781766,0.5471285620074829,0.008177424085957896,0.1362904014326316,0.4721237997305521,0.1260515848592527,0.1260515848592527,0.4366554987016109,0.006524762178531195,0.10874603630885325,0.37670732001732743
