coverage_error,method,replicate,round,simulations,validation_log_posterior
0.1010416666666667,bo,2,2,152,6.987904451655983
0.3211805555555556,bo,2,3,168,3.811017788639949
0.0979166666666667,bo,2,4,184,6.7391646418971884
0.16875000000000004,bo,2,5,200,6.978580186360415
0.13159722222222223,bo,2,6,216,7.0222049034426135
0.2916666666666667,bo,2,7,232,4.926654829966511
0.16319444444444445,bo,2,8,248,6.808922984757476
0.10486111111111114,bo,2,9,264,7.064834784984644
0.2263888888888889,bo,2,10,280,6.177777000782055
0.1402777777777778,bo,2,11,296,7.233158632062864
0.1572916666666667,bo,2,12,312,7.107564952726198
0.24444444444444446,random,3,0,120,5.297547326951612
0.1975694444444445,random,3,1,136,6.203078096257753
0.22152777777777777,random,3,2,152,5.392585041744572
0.02881944444444447,random,3,3,168,7.038411869917521
0.08368055555555558,random,3,4,184,6.983628161518774
0.04409722222222225,random,3,5,200,7.190665661684098
0.16388888888888895,random,3,6,216,6.745609285094148
0.022916666666666696,random,3,7,232,7.267230153102716
0.17847222222222225,random,3,8,248,6.587105008652872
0.06250000000000004,random,3,9,264,7.188513709545966
0.20486111111111113,random,3,10,280,6.245669570698319
0.2638888888888889,random,3,11,296,4.664231671646363
0.22152777777777777,random,3,12,312,6.117913103723682
0.06979166666666668,bo,3,0,120,6.7784749824380945
0.029861111111111154,bo,3,1,136,7.193480131107524
0.09756944444444449,bo,3,2,152,7.116700830996659
0.018055555555555547,bo,3,3,168,7.06659284442061
0.017013888888888884,bo,3,4,184,6.6832181203158125
0.24756944444444443,bo,3,5,200,5.399459045996214
0.22048611111111108,bo,3,6,216,6.187038853028212
0.2225694444444445,bo,3,7,232,5.983204305797825
0.026736111111111144,bo,3,8,248,7.479143425034746
0.04826388888888892,bo,3,9,264,7.55637378636715
0.23923611111111112,bo,3,10,280,5.659991465389529
0.015277777777777835,bo,3,11,296,7.008129669798228
0.23506944444444447,bo,3,12,312,6.523215769716847
0.10729166666666669,random,4,0,120,6.553986596744166
0.13263888888888895,random,4,1,136,6.4904617975739045
0.3923611111111111,random,4,2,152,-0.7797192170209135
0.13750000000000004,random,4,3,168,6.596135593703013
0.1885416666666667,random,4,4,184,6.583976399290978
0.07777777777777778,random,4,5,200,6.736055659278691
0.10138888888888892,random,4,6,216,7.1249021790733025
0.21562500000000004,random,4,7,232,6.189096927784191
0.0625,random,4,8,248,7.082621471171792
0.2020833333333333,random,4,9,264,6.610975456649191
0.20486111111111113,random,4,10,280,6.3057647603686835
0.26805555555555555,random,4,11,296,5.389194035245639
0.17222222222222228,random,4,12,312,6.839119702722923
0.06805555555555559,bo,4,0,120,6.3935909954740415
0.13368055555555555,bo,4,1,136,6.546862595233635
0.26458333333333334,bo,4,2,152,5.103382176624197
0.2357638888888889,bo,4,3,168,5.78857781234268
0.20590277777777777,bo,4,4,184,6.376657331786029
0.12118055555555558,bo,4,5,200,6.893934819382923
0.16493055555555558,bo,4,6,216,6.78744383604053
0.26145833333333335,bo,4,7,232,5.308905626729935
0.18020833333333333,bo,4,8,248,6.731375282819161
0.17395833333333335,bo,4,9,264,6.8128747808402155
0.1875,bo,4,10,280,6.449818339568173
0.1715277777777778,bo,4,11,296,6.839119090066794
0.2357638888888889,bo,4,12,312,5.525452010499028
