pred0,prey0,psi0_unit,psi1_unit,replicate,reward_delta_log_posterior,round,t_span,t_start
15.0,40.0,0.26091345442910996,0.17670071710411916,2,0.23941554446322666,5,3.56548072657466,5.731202814541631
15.0,40.0,0.04867610026194269,0.42827742911936084,2,0.043624717082198394,6,2.292056601571656,14.43635133957982
15.0,40.0,0.15786563225327943,0.9123688016620389,2,-2.095550073476103,7,2.9471937935196766,30.15634919017406
15.0,40.0,0.14720732555406613,0.9010027447441056,2,1.8822681547909657,8,2.8832439533243965,29.838288095075676
15.0,40.0,0.46825893680142827,0.02017827489516255,2,0.2559118002271674,9,4.80955362080857,0.6293694011421521
15.0,40.0,0.6001295376863102,0.37427813046556324,2,-0.8870577842025886,10,5.600777226117861,11.37776426741478
15.0,40.0,0.003379175628926645,0.8437845080741408,2,1.0553816312808086,11,2.0202750537735596,28.671565498246288
15.0,40.0,0.9497366970146313,0.6713201226805598,2,-0.12559367933666543,12,7.698420182087787,18.999420035414484
15.0,40.0,0.0026589175167728296,0.23110568955147137,3,0.4150051486694295,1,2.015953505100637,7.8539064989529805
15.0,40.0,0.9576381491589481,0.3812353135698163,3,-0.0767793001108652,2,7.745828894953688,10.771487780887574
15.0,40.0,0.10779006510253364,0.4948536506363389,3,-0.05010798657604898,3,2.646740390615202,16.50498227832562
15.0,40.0,0.4252120179037242,0.6812397510845267,3,-0.38337472410479734,4,4.551272107422346,21.424123561464615
15.0,40.0,0.04522698186935703,0.07304969457248234,3,-1.2837590743195983,5,2.2713618912161424,2.463866712192449
15.0,40.0,0.7473503078591553,0.41357984156777206,3,0.7875798070319977,6,6.484101847154932,12.207180481784158
15.0,40.0,0.5390674283782723,0.9433530066324227,3,-0.20383454723038685,7,5.234404570269634,29.022816949472865
15.0,40.0,0.39948363197390935,0.9618909900430025,3,1.4959391192369207,8,4.396901791843456,30.398735423869937
15.0,40.0,0.1854818069414329,0.49467590039993636,3,0.07723036133240413,9,3.112890841648597,16.26846033445847
15.0,40.0,0.6562101985689384,0.7662359387868963,3,-1.8963823209776205,10,5.93726119141363,23.03515089350244
15.0,40.0,0.39087881959537574,0.3856210789308663,3,1.3481382044086985,11,4.345272917572254,12.2067300107879
15.0,40.0,0.9844350796062937,0.006101161379963749,3,-0.4849139000813807,12,7.906610477637763,0.1714023031861147
15.0,40.0,0.6191274563622852,0.9262555133887235,4,0.15327159975959326,1,5.714764738173711,28.05186613554118
15.0,40.0,0.3067501673308861,0.40272768932214975,4,-1.4434804186094379,2,3.8405010039853167,12.951520720422987
15.0,40.0,0.9981991027152454,0.8446888020324184,4,0.6851956357184834,3,7.989194616291472,23.660413643527974
15.0,40.0,0.8410676000786058,0.8447408640205841,4,0.5880795194433484,4,7.046405600471635,24.458284349559136
15.0,40.0,0.7883792840920487,0.7401059441991603,4,0.5172774875968944,5,6.730275704552293,21.66269693613143
15.0,40.0,0.9521939348360098,0.5704586502183568,4,-0.10649098334239326,6,7.713163609016059,16.136470506548196
15.0,40.0,0.9748838946245938,0.7828365464550222,4,-1.478538209310595,7,7.849303367747563,22.03739413189552
15.0,40.0,0.3946568471301992,0.9053388281457028,4,1.422469656089226,8,4.367941082781195,28.637731151950703
15.0,40.0,0.16007120967493094,0.7079508361695558,4,0.0814994980210546,9,2.9604272580495854,23.39039314934866
15.0,40.0,0.29140848392576635,0.21408123063399775,4,-0.3630564412720423,10,3.7484509035545983,6.90445132041983
15.0,40.0,0.7147510537209133,0.2977887832273899,4,0.389300750498621,11,6.28850632232548,8.847749550142982
15.0,40.0,0.4661470984822782,0.9252037644862269,4,-1.3136670795677663,12,4.796882590893669,28.8692416906109
