batch,batch_size,batch_sizes,batch_theta_mode,budget,coverage_error,design_space,estimator,final_simulations,initial,initial_design_mode,method,policy,policy_label,posterior_mean_predictive_rmse,pred0,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_abs_neg_coverage_error,reward_abs_neg_predictive_rmse,reward_abs_neg_prior_std_rmse,reward_abs_neg_range_rmse,reward_abs_neg_range_rmse_alpha,reward_abs_neg_range_rmse_beta,reward_abs_neg_range_rmse_delta,reward_abs_neg_range_rmse_gamma,reward_abs_neg_raw_rmse,reward_abs_rmse_coverage,reward_abs_rmse_coverage_predictive,reward_abs_rmse_predictive,reward_delta_neg_coverage_error,reward_delta_neg_predictive_rmse,reward_delta_neg_prior_std_rmse,reward_delta_neg_range_rmse,reward_delta_neg_range_rmse_alpha,reward_delta_neg_range_rmse_beta,reward_delta_neg_range_rmse_delta,reward_delta_neg_range_rmse_gamma,reward_delta_neg_raw_rmse,reward_delta_rmse_coverage,reward_delta_rmse_coverage_predictive,reward_delta_rmse_predictive,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,role,seed,simulations,t_end,t_span,t_start,target_mode,validation
112,112,"14,56,112,224",paired,612,0.3216666666666667,wide_window,rectified_fmpe,612,500,categorical,rectified_fmpe,long_middle,long middle,0.9490649343496007,15.0,40.0,0.8434578652745421,0.8850720453892764,0.8437561535894614,0.7226236162680992,0.9223796458513316,1.0,0.5,0.24348531278318203,0.25549829182885575,0.2435714212026394,0.20860346968758398,0.26626806841364903,0.18476220811183988,1,-0.3216666666666667,-0.9490649343496007,-0.8434578652745421,-0.24348531278318203,-0.25549829182885575,-0.2435714212026394,-0.20860346968758398,-0.26626806841364903,-0.18476220811183988,-0.3239019794498487,-0.41880847288480877,-0.33839180621814213,-0.029166666666666674,-0.03761621424148698,0.01564233383710123,0.00451555282580221,0.00027281389802225053,0.019982804687716488,-0.008475214242800705,0.006281806960270697,0.0023851514915567973,-0.002776113840864458,-0.006537735265013167,0.0007539314016534737,0.25549829182885575,0.014614285272158363,0.012516208181255038,0.26626806841364903,one_batch_probe,10717,612,32.0,24.0,8.0,validation_set,100
224,224,"14,56,112,224",paired,724,0.3041666666666667,wide_window,rectified_fmpe,724,500,categorical,rectified_fmpe,long_middle,long middle,0.9502924591430276,15.0,40.0,0.7902312534017781,0.8387575666889724,0.7450722303644612,0.6860805653270144,0.8910146512266642,1.0,0.5,0.228120113436786,0.2421284534563569,0.2150838263833183,0.19805439953866122,0.2572137743688076,0.17684234889400008,1,-0.3041666666666667,-0.9502924591430276,-0.7902312534017781,-0.228120113436786,-0.2421284534563569,-0.2150838263833183,-0.19805439953866122,-0.2572137743688076,-0.17684234889400008,-0.3041617801034527,-0.39919102601775547,-0.3231493593510888,-0.011666666666666659,-0.03884373903491389,0.06886894570986524,0.01988075217219823,0.01364265227052111,0.048470399507037576,0.002073855906122052,0.015336101005112124,0.0103050107093966,0.01696408550553158,0.013079711602040134,0.015996378268706812,0.2421284534563569,0.012905029582999097,0.011883263972319673,0.2572137743688076,one_batch_probe,10717,724,32.0,24.0,8.0,validation_set,100
14,14,"14,56,112,224",paired,514,0.3116666666666667,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,long_late,long late,0.9850347684858509,15.0,40.0,0.8959554439668515,0.857636259576987,0.7845907148950625,0.8295688552097323,1.112025946185624,1.0,1.0,0.2586400583780862,0.24757826266677863,0.22649183022417263,0.23947590093333432,0.32101423968805914,0.20293857959382267,1,-0.3116666666666667,-0.9850347684858509,-0.8959554439668515,-0.2586400583780862,-0.24757826266677863,-0.22649183022417263,-0.23947590093333432,-0.32101423968805914,-0.20293857959382267,-0.33655672504475287,-0.43506020189333794,-0.3571435352266713,-0.019166666666666665,-0.07358604837773719,-0.03685524485520808,-0.01063919276910194,0.008192843060099375,0.037062395666183245,-0.03934764548855105,-0.04846436431413942,-0.015791219990425986,-0.015430859435768607,-0.022789464273542337,-0.0179977976068757,0.24757826266677863,0.013589509813450357,0.01436855405600006,0.32101423968805914,one_batch_probe,10717,514,40.0,24.0,16.0,validation_set,100
56,56,"14,56,112,224",paired,556,0.23583333333333337,wide_window,rectified_fmpe,556,500,categorical,rectified_fmpe,long_late,long late,0.9172280380266583,15.0,40.0,0.7717001837668215,0.7777266955469251,0.8177726646340894,0.6534224567921697,0.8378789180941016,1.0,1.0,0.22277065441572905,0.22451035851498768,0.23607063403120454,0.18862681566175288,0.24187480945497103,0.16525513489815208,1,-0.23583333333333337,-0.9172280380266583,-0.7717001837668215,-0.22277065441572905,-0.22451035851498768,-0.23607063403120454,-0.18862681566175288,-0.24187480945497103,-0.16525513489815208,-0.2817289877490624,-0.37345179155172825,-0.3144934582183949,0.05666666666666667,-0.00577931791854458,0.08740001534482189,0.025230211193255192,0.031260747211890316,0.027483591859151335,0.011501439783030393,0.030675065918948696,0.0218922247052446,0.03939687785992185,0.03881894606806735,0.02465227940140069,0.22451035851498768,0.014164238041872272,0.011317608939705173,0.24187480945497103,one_batch_probe,10717,556,40.0,24.0,16.0,validation_set,100
112,112,"14,56,112,224",paired,612,0.29,wide_window,rectified_fmpe,612,500,categorical,rectified_fmpe,long_late,long late,0.9895804157646065,15.0,40.0,0.7645298066033633,0.7466580334024903,0.7633103574951857,0.6700268412262212,0.8781239942895563,1.0,1.0,0.22070074482297222,0.2155416082887622,0.22034872018753748,0.19342008857311674,0.2534925622424724,0.16660292435676727,1,-0.29,-0.9895804157646065,-0.7645298066033633,-0.22070074482297222,-0.2155416082887622,-0.22034872018753748,-0.19342008857311674,-0.2534925622424724,-0.16660292435676727,-0.2932007448229722,-0.39215878639943286,-0.3196587863994329,0.0025000000000000577,-0.0781316956564928,0.09457039250828003,0.027300120786012017,0.0402294974381158,0.04320550570281839,0.006708166871666532,0.019057313131447318,0.02054443524662941,0.02792512078601206,0.020111951220362745,0.019486951220362703,0.2155416082887622,0.013220923211252249,0.011605205314387005,0.2534925622424724,one_batch_probe,10717,612,40.0,24.0,16.0,validation_set,100
224,224,"14,56,112,224",paired,724,0.30083333333333334,wide_window,rectified_fmpe,724,500,categorical,rectified_fmpe,long_late,long late,0.8870215784201015,15.0,40.0,0.7586998453186089,0.7959142325853251,0.7521020364432203,0.647269748462468,0.8395133637834222,1.0,1.0,0.21901777996441316,0.22976064821749595,0.21711315659927946,0.18685068175655362,0.24234663328432357,0.16719541771062338,1,-0.30083333333333334,-0.8870215784201015,-0.7586998453186089,-0.21901777996441316,-0.22976064821749595,-0.21711315659927946,-0.18685068175655362,-0.24234663328432357,-0.16719541771062338,-0.2942261132977465,-0.38292827113975664,-0.3077199378064233,-0.008333333333333304,0.02442714168801219,0.10040035379303447,0.028983085644571083,0.02601045750938205,0.046441069291076414,0.013277573688229655,0.030203242089596155,0.0199519418927733,0.026899752311237757,0.029342466480038965,0.03142579981337229,0.22976064821749595,0.013026789395956768,0.011211040905393217,0.24234663328432357,one_batch_probe,10717,724,40.0,24.0,16.0,validation_set,100
14,14,"14,56,112,224",paired,514,0.3041666666666667,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,short_early,short early,1.0839623149904944,15.0,40.0,0.8841762718121939,0.8939940372720429,0.9117762232811591,0.7706830939011503,0.9602517327944232,0.0,0.0,0.25523970427092496,0.2580738490364672,0.2632071239760388,0.2224770458618614,0.27720079820933247,0.18965098245076273,2,-0.3041666666666667,-1.0839623149904944,-0.8841762718121939,-0.25523970427092496,-0.2580738490364672,-0.2632071239760388,-0.2224770458618614,-0.27720079820933247,-0.18965098245076273,-0.33128137093759163,-0.4396776024366411,-0.36363593576997444,0.03333333333333338,0.034712774866640705,0.06865864268965827,0.01982004291953432,0.046628327205663955,0.01829415079500779,0.008586381653975489,0.005771312023489905,0.018552110205870553,0.02815337625286768,0.031624653739531716,0.023291320406198357,0.2580738490364672,0.015792427438562327,0.013348622751711683,0.27720079820933247,one_batch_probe,20717,514,2.0,2.0,0.0,validation_set,100
56,56,"14,56,112,224",paired,556,0.38083333333333336,wide_window,rectified_fmpe,556,500,categorical,rectified_fmpe,short_early,short early,1.0754004882027401,15.0,40.0,0.9695586452484198,1.0707974247500238,1.074178263326784,0.7934344141502946,0.9398244787665773,0.0,0.0,0.27988747241465206,0.3091125907134922,0.3100885547446817,0.22904478629699282,0.2713039579034416,0.20596811066580661,2,-0.38083333333333336,-1.0754004882027401,-0.9695586452484198,-0.27988747241465206,-0.3091125907134922,-0.3100885547446817,-0.22904478629699282,-0.2713039579034416,-0.20596811066580661,-0.3750958057479854,-0.4826358545682594,-0.3874275212349261,-0.04333333333333328,0.043274601654395006,-0.016723730746567633,-0.00482772522419278,-0.004410414471361035,-0.028587279973635138,0.0020186412188440694,0.011668152329380788,0.0022349819908266677,-0.015661058557526086,-0.011333598392086586,-0.0005002650587532798,0.3091125907134922,0.018605313284680902,0.013742687177819568,0.2713039579034416,one_batch_probe,20717,556,2.0,2.0,0.0,validation_set,100
112,112,"14,56,112,224",paired,612,0.36833333333333335,wide_window,rectified_fmpe,612,500,categorical,rectified_fmpe,short_early,short early,1.0448131432478875,15.0,40.0,1.0155768121760707,1.1533672702018491,1.1328329374223498,0.7949741980141211,0.981132843065963,0.0,0.0,0.29317177294629826,0.3329484519627708,0.3270207006838341,0.22948928361112983,0.28322865552745835,0.21888794582398904,2,-0.36833333333333335,-1.0448131432478875,-1.0155768121760707,-0.29317177294629826,-0.3329484519627708,-0.3270207006838341,-0.22948928361112983,-0.28322865552745835,-0.21888794582398904,-0.3852551062796316,-0.48973642060442035,-0.397653087271087,-0.030833333333333268,0.07386194660924761,-0.06274189767421845,-0.01811202575583898,-0.028246275720639646,-0.045519425912787514,0.0015741439047070593,-0.0002565452946359792,-0.010684853167355762,-0.025820359089172296,-0.018434164428247524,-0.010725831094914207,0.3329484519627708,0.019621242041030044,0.01376935701666779,0.28322865552745835,one_batch_probe,20717,612,2.0,2.0,0.0,validation_set,100
224,224,"14,56,112,224",paired,724,0.4091666666666667,wide_window,rectified_fmpe,724,500,categorical,rectified_fmpe,short_early,short early,1.048355815908257,15.0,40.0,0.9601663178045037,1.0768906912566343,1.0225096845990196,0.8366552849746729,0.9046096103876883,0.0,0.0,0.277176141025621,0.31087156524241,0.2951731208261216,0.24152157699952523,0.2611383010344272,0.20332117313483705,2,-0.4091666666666667,-1.048355815908257,-0.9601663178045037,-0.277176141025621,-0.31087156524241,-0.2951731208261216,-0.24152157699952523,-0.2611383010344272,-0.20332117313483705,-0.37946780769228766,-0.4843033892831134,-0.3820117226164467,-0.0716666666666666,0.07031927394887805,-0.0073314033026514736,-0.0021163938351617118,-0.006169389000278858,-0.013671846055075043,-0.01045814948368834,0.02183380919839517,0.00488191952179623,-0.020033060501828348,-0.013001133106940566,0.004915533559726071,0.31087156524241,0.0177103872495673,0.014491294619971513,0.2611383010344272,one_batch_probe,20717,724,2.0,2.0,0.0,validation_set,100
14,14,"14,56,112,224",paired,514,0.2733333333333334,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,short_middle,short middle,1.0560499923774693,15.0,40.0,0.8602933456467946,0.907402059116458,0.9214365855740482,0.7193934600371112,0.8929412778595611,0.0,0.5,0.24834529734561034,0.2619444115470539,0.2659958303611732,0.20767100390284124,0.25776994357137306,0.18403137656999877,2,-0.2733333333333334,-1.0560499923774693,-0.8602933456467946,-0.24834529734561034,-0.2619444115470539,-0.2659958303611732,-0.20767100390284124,-0.25776994357137306,-0.18403137656999877,-0.3166786306789437,-0.4222836299166906,-0.3539502965833573,0.0641666666666667,0.06262509747966583,0.0925415688550576,0.026714449844848942,0.04275776469507725,0.015505444409873392,0.02339242361299565,0.02520216666144931,0.024171716086634515,0.04275611651151562,0.04901862625948222,0.03297695959281549,0.2619444115470539,0.01595974982167039,0.012460260234170474,0.25776994357137306,one_batch_probe,20717,514,21.0,2.0,19.0,validation_set,100
56,56,"14,56,112,224",paired,556,0.3475,wide_window,rectified_fmpe,556,500,categorical,rectified_fmpe,short_middle,short middle,1.0172792003177544,15.0,40.0,0.9052558576780102,0.9510030420688667,0.9565569768747728,0.8061175528651211,0.9073458589032801,0.0,0.5,0.26132485655794235,0.2745309311693066,0.2761342140469324,0.23270609307258003,0.26192818794295053,0.19002832409635523,2,-0.3475,-1.0172792003177544,-0.9052558576780102,-0.26132485655794235,-0.2745309311693066,-0.2761342140469324,-0.23270609307258003,-0.26192818794295053,-0.19002832409635523,-0.34819985655794233,-0.4499277765897178,-0.3630527765897178,-0.009999999999999898,0.10139588953938072,0.047579056823842,0.013734890632516927,0.030171245072824537,0.005367060724114192,-0.0016426655567431392,0.02104392228987184,0.018174768560278054,0.01123489063251698,0.021374479586455053,0.023874479586455,0.2745309311693066,0.016568052842815942,0.013962365584354802,0.26192818794295053,one_batch_probe,20717,556,21.0,2.0,19.0,validation_set,100
112,112,"14,56,112,224",paired,612,0.31083333333333335,wide_window,rectified_fmpe,612,500,categorical,rectified_fmpe,short_middle,short middle,1.0049864127287635,15.0,40.0,0.9090529603635984,0.9331183650034408,0.9492348005922857,0.7861676612432869,0.9676910146153804,0.0,0.5,0.2624209856867749,0.26936806961026005,0.2740204838230585,0.2269470554234951,0.279348333890286,0.1943260021602286,2,-0.31083333333333335,-1.0049864127287635,-0.9090529603635984,-0.2624209856867749,-0.26936806961026005,-0.2740204838230585,-0.2269470554234951,-0.279348333890286,-0.1943260021602286,-0.34012931902010823,-0.4406279602929846,-0.3629196269596513,0.026666666666666727,0.1136886771283716,0.04378195413825381,0.01263876150368437,0.03533410663187109,0.007480790947988092,0.00411637209234178,0.0036237763425363556,0.013877090496404676,0.01930542817035108,0.030674295883188207,0.024007629216521498,0.26936806961026005,0.016441229029383508,0.013616823325409706,0.279348333890286,one_batch_probe,20717,612,21.0,2.0,19.0,validation_set,100
224,224,"14,56,112,224",paired,724,0.35166666666666674,wide_window,rectified_fmpe,724,500,categorical,rectified_fmpe,short_middle,short middle,1.1213612790966985,15.0,40.0,0.9802082603332651,0.9355376463142798,0.9620956411687499,0.9031805970508423,1.1200191567991886,0.0,0.5,0.28296175148265273,0.2700664559682892,0.27773308870747165,0.2607257804170754,0.3233216808377747,0.21094739208101695,2,-0.35166666666666674,-1.1213612790966985,-0.9802082603332651,-0.28296175148265273,-0.2700664559682892,-0.27773308870747165,-0.2607257804170754,-0.3233216808377747,-0.21094739208101695,-0.37087841814931943,-0.4830145460589893,-0.3950978793923226,-0.01416666666666666,-0.002686189239563319,-0.027373345831412932,-0.007902004292193454,0.03463572027384193,0.00376818606357493,-0.029662352901238503,-0.04034957060495231,-0.0027442994243836727,-0.01144367095886012,-0.011712289882816473,-0.008170623216149808,0.2700664559682892,0.0166639853224483,0.015643546825024522,0.3233216808377747,one_batch_probe,20717,724,21.0,2.0,19.0,validation_set,100
14,14,"14,56,112,224",paired,514,0.35666666666666674,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,short_late,short late,1.0299082766197778,15.0,40.0,0.976325629240242,1.0563941434119015,0.9981755909040408,0.8518701015997691,0.9988626810452569,0.0,1.0,0.2818409324292923,0.3049547215346028,0.2881484730534809,0.24591371623661026,0.2883468188924752,0.21015344471703284,2,-0.35666666666666674,-1.0299082766197778,-0.976325629240242,-0.2818409324292923,-0.3049547215346028,-0.2881484730534809,-0.24591371623661026,-0.2883468188924752,-0.21015344471703284,-0.371007599095959,-0.4739984267579368,-0.38483176009127007,-0.019166666666666665,0.08876681323735736,-0.023490714738389817,-0.006781185238833032,-0.0002525452924716509,-0.006647198282434319,-0.014850288720773375,-0.005374708659652838,-0.0019503520603995628,-0.01157285190549967,-0.002696170581763968,0.002095496084902726,0.3049547215346028,0.017288908383208852,0.014754822974196615,0.2883468188924752,one_batch_probe,20717,514,40.0,2.0,38.0,validation_set,100
