batch,batch_size,best_label,best_mean_delta,best_policy,between_policy_std,final_simulations,mean_policy_delta,mean_within_policy_std,n,paired_eta_squared,policies,positive_observation_fraction,positive_policy_fraction,range_of_policy_means,rank_stability_spearman,raw_eta_squared,replicates,reward,reward_label,winner_stability,worst_label,worst_mean_delta,worst_policy
14,14,medium late,0.015309188273996077,medium_late,0.012275357294061056,514,0.0020075654261845397,0.020425092794427453,27,0.4231211368015654,9,0.48148148148148145,0.6666666666666666,0.04120035296074015,0.027777777777777752,0.2753207220868731,3,rmse_coverage_predictive,-RMSE - coverage - predictive penalties,0.6666666666666666,medium middle,-0.025891164686744073,medium_middle
14,14,medium early,0.017842043957777203,medium_early,0.007306087904718924,514,0.009322380240999338,0.014675003626350725,27,0.40827173317616183,9,0.7777777777777778,0.8888888888888888,0.02512209753341018,-0.0166666666666667,0.2223858240465407,3,rmse_predictive,-RMSE - predictive penalty,0.0,medium middle,-0.007280053575632976,medium_middle
56,56,medium early,-0.013611111111111074,medium_early,0.01880382078910724,556,-0.03450617283950615,0.04267332568184764,27,0.4167089771472885,9,0.18518518518518517,0.0,0.051388888888888914,0.2833333333333333,0.18628243636938496,3,neg_coverage_error,-coverage error,0.0,medium late,-0.06499999999999999,medium_late
56,56,short middle,0.0655805901154373,short_middle,0.04428500125357879,556,0.0257199892662246,0.06445106479951036,27,0.39392767086966596,9,0.7037037037037037,0.8888888888888888,0.15225937053816063,-0.03888888888888889,0.31591727081766113,3,neg_predictive_rmse,-posterior-mean predictive RMSE,0.6666666666666666,short late,-0.08667878042272333,short_late
56,56,medium middle,0.06505691246674512,medium_middle,0.030671435971324906,556,0.02153887816677618,0.03516547695317919,27,0.5701098580561443,9,0.6666666666666666,0.8888888888888888,0.10117094100305513,0.35555555555555557,0.48489210814952677,3,neg_prior_std_rmse,-prior-std-normalized RMSE,0.3333333333333333,short early,-0.036114028536309996,short_early
56,56,medium middle,0.018780312962660622,medium_middle,0.008854080907238396,556,0.006217738553815413,0.010151398792549797,27,0.5701098580561447,9,0.6666666666666666,0.8888888888888888,0.029205535011140787,0.35555555555555557,0.48489210814952655,3,neg_range_rmse,-range-normalized RMSE,0.3333333333333333,short early,-0.010425222048480167,short_early
56,56,medium middle,0.027074622997382225,medium_middle,0.012867249286684007,556,0.01428803348672334,0.019845800662306692,27,0.4773701038720682,9,0.7037037037037037,0.8888888888888888,0.0407078757063297,0.18333333333333335,0.3151150182623226,3,neg_range_rmse_alpha,-range-normalized RMSE alpha,0.3333333333333333,short early,-0.013633252708947477,short_early
56,56,medium middle,0.022752691913463453,medium_middle,0.008829150116010577,556,0.01202669485232432,0.015418055749667502,27,0.3602742236502711,9,0.7777777777777778,0.8888888888888888,0.029298997252156456,-0.19444444444444442,0.2526741488568916,3,neg_range_rmse_beta,-range-normalized RMSE beta,0.3333333333333333,short early,-0.006546305338693002,short_early
56,56,medium middle,0.016631346181449746,medium_middle,0.012460470266972093,556,-0.0033633195113928404,0.012412178773357166,27,0.6609050283219607,9,0.48148148148148145,0.2222222222222222,0.03887384099278447,0.6,0.5161838578234025,3,neg_range_rmse_delta,-range-normalized RMSE delta,0.3333333333333333,short middle,-0.022242494811334723,short_middle
56,56,long late,0.014828329195142561,long_late,0.008129348625882096,556,0.0019195453876067307,0.012386017821255986,27,0.34123406201739787,9,0.6666666666666666,0.5555555555555556,0.02161359551597558,-0.0888888888888889,0.3029836682305827,3,neg_range_rmse_gamma,-range-normalized RMSE gamma,0.3333333333333333,short late,-0.006785266320833021,short_late
